pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,0.0373291700962,space,0,wrong,target,NaN,targetNaN,beaver
2,1,trophy,5.73354366914,right,0,wrong,path,1,path1,beaver
3,1,astronaut,3.1668930614,right,0,wrong,path,2,path2,beaver
4,1,robot,0.733600418753,right,0,wrong,path,3,path3,beaver
5,1,watch,6.18358167328,right,0,wrong,decision,1,decision1,beaver
6,1,clover,1.18360793503,left,0,wrong,arm1,1,arm11,beaver
7,1,radio,0.700254286552,right,0,wrong,arm1,2,arm12,beaver
8,1,wing,4.51688029271,left,0,wrong,arm1,3,arm13,beaver
9,1,stepladder,3.30026521388,left,0,wrong,decision,2,decision2,beaver
10,1,calc,1.91690347556,right,0,wrong,arm2,1,arm21,beaver
11,1,tongue,3.50022005566,right,0,wrong,arm2,2,arm22,beaver
12,1,beaver,5.15024127642,left,0,wrong,arm2,3,arm23,beaver
13,2,arc,3.65021048672,space,1,correct,target,NaN,targetNaN,arc
14,2,trophy,4.7668725953,right,1,correct,path,1,path1,arc
15,2,astronaut,3.11688518286,right,1,correct,path,2,path2,arc
16,2,robot,0.550484514912,right,1,correct,path,3,path3,arc
17,2,watch,13.4167486216,left,1,correct,decision,1,decision1,arc
18,2,clover,1.86689499329,left,1,correct,arm1,1,arm11,arc
19,2,radio,2.88349304727,right,1,correct,arm1,2,arm12,arc
20,2,wing,2.80024861157,left,1,correct,arm1,3,arm13,arc
21,2,holly,1.53404584283,left,1,correct,decision,2,decision2,arc
22,2,match,2.80030566306,right,1,correct,arm2,1,arm21,arc
23,2,baby,1.00024752491,left,1,correct,arm2,2,arm22,arc
24,2,arc,1.21691301433,left,1,correct,arm2,3,arm23,arc
25,3,beaver,1.71694621886,space,-1,miss,target,NaN,targetNaN,beaver
26,3,trophy,0.850251660362,right,-1,miss,path,1,path1,beaver
27,3,astronaut,1.18357623977,right,-1,miss,path,2,path2,beaver
28,3,robot,0.266932363505,right,-1,miss,path,3,path3,beaver
29,3,pigeon,14.0167855088,right,-1,miss,decision,1,decision1,beaver
30,3,bus,1.83395305116,right,-1,miss,arm1,1,arm11,beaver
31,3,deer,0.800242876285,left,-1,miss,arm1,2,arm12,beaver
32,3,fist,1.50024390258,left,-1,miss,arm1,3,arm13,beaver
33,3,holly,3.40012913555,right,-1,miss,decision,2,decision2,beaver
34,3,match,2.70052173419,right,-1,miss,arm2,1,arm21,beaver
35,3,baby,1.18356899515,left,-1,miss,arm2,2,arm22,beaver
36,3,arc,0.916906192288,left,-1,miss,arm2,3,arm23,beaver
37,4,beaver,0.767071218957,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,0.600274148921,right,1,correct,path,1,path1,beaver
39,4,astronaut,0.266867161845,right,1,correct,path,2,path2,beaver
40,4,robot,0.700227722904,right,1,correct,path,3,path3,beaver
41,4,pigeon,1.50031604705,right,1,correct,decision,1,decision1,beaver
42,4,bus,1.38357998285,right,1,correct,arm1,1,arm11,beaver
43,4,deer,0.683867232467,left,1,correct,arm1,2,arm12,beaver
44,4,fist,3.8333357482,left,1,correct,arm1,3,arm13,beaver
45,4,stepladder,5.53351517359,right,1,correct,decision,2,decision2,beaver
46,4,calc,1.05021253935,right,1,correct,arm2,1,arm21,beaver
47,4,tongue,0.950253230054,right,1,correct,arm2,2,arm22,beaver
48,4,beaver,1.66692566223,left,1,correct,arm2,3,arm23,beaver
49,5,arc,1.10026026337,space,1,correct,target,NaN,targetNaN,arc
50,5,trophy,1.10026780987,right,1,correct,path,1,path1,arc
51,5,astronaut,0.200957619498,right,1,correct,path,2,path2,arc
52,5,robot,0.233573251375,right,1,correct,path,3,path3,arc
53,5,watch,1.13358918956,right,1,correct,decision,1,decision1,arc
54,5,clover,1.15057392573,left,1,correct,arm1,1,arm11,arc
55,5,radio,0.133571983548,right,1,correct,arm1,2,arm12,arc
56,5,wing,0.850189175428,left,1,correct,arm1,3,arm13,arc
57,5,holly,4.53360090172,left,1,correct,decision,2,decision2,arc
58,5,match,0.8836693333,right,1,correct,arm2,1,arm21,arc
59,5,baby,0.516901121067,left,1,correct,arm2,2,arm22,arc
60,5,arc,0.966931578674,left,1,correct,arm2,3,arm23,arc
61,6,beaver,4.41692309643,space,1,correct,target,NaN,targetNaN,beaver
62,6,trophy,0.516954248335,right,1,correct,path,1,path1,beaver
63,6,astronaut,0.150231013191,right,1,correct,path,2,path2,beaver
64,6,robot,0.216902751097,right,1,correct,path,3,path3,beaver
65,6,pigeon,5.33357965079,right,1,correct,decision,1,decision1,beaver
66,6,bus,2.75023016796,right,1,correct,arm1,1,arm11,beaver
67,6,deer,0.500057655183,left,1,correct,arm1,2,arm12,beaver
68,6,fist,2.1835231125,left,1,correct,arm1,3,arm13,beaver
69,6,stepladder,1.76697190714,left,1,correct,decision,2,decision2,beaver
70,6,calc,0.533668820135,right,1,correct,arm2,1,arm21,beaver
71,6,tongue,0.433615632443,right,1,correct,arm2,2,arm22,beaver
72,6,beaver,0.400315382954,left,1,correct,arm2,3,arm23,beaver
73,7,arc,0.783579318726,space,-1,miss,target,NaN,targetNaN,arc
74,7,trophy,4.80021510518,right,-1,miss,path,1,path1,arc
75,7,astronaut,0.166734886938,right,-1,miss,path,2,path2,arc
76,7,robot,0.216917844082,right,-1,miss,path,3,path3,arc
77,7,pigeon,4.05036709152,right,-1,miss,decision,1,decision1,arc
78,7,bus,1.43357246654,right,-1,miss,arm1,1,arm11,arc
79,7,deer,0.600243962981,left,-1,miss,arm1,2,arm12,arc
80,7,fist,1.00023575238,left,-1,miss,arm1,3,arm13,arc
81,7,stepladder,2.35067366017,right,-1,miss,decision,2,decision2,arc
82,7,calc,0.58360576164,right,-1,miss,arm2,1,arm21,arc
83,7,tongue,0.184217993374,right,-1,miss,arm2,2,arm22,arc
84,7,beaver,0.516922854935,left,-1,miss,arm2,3,arm23,arc
85,8,arc,0.767481748073,space,1,correct,target,NaN,targetNaN,arc
86,8,trophy,0.450269832334,right,1,correct,path,1,path1,arc
87,8,astronaut,0.233582910878,right,1,correct,path,2,path2,arc
88,8,robot,0.650351455173,right,1,correct,path,3,path3,arc
89,8,watch,0.867049545457,left,1,correct,decision,1,decision1,arc
90,8,clover,1.26723271387,left,1,correct,arm1,1,arm11,arc
91,8,radio,0.266956512263,right,1,correct,arm1,2,arm12,arc
92,8,wing,1.20086857092,left,1,correct,arm1,3,arm13,arc
93,8,holly,1.16698090255,left,1,correct,decision,2,decision2,arc
94,8,match,0.500650205649,right,1,correct,arm2,1,arm21,arc
95,8,baby,0.516926779121,left,1,correct,arm2,2,arm22,arc
96,8,arc,0.650259086106,left,1,correct,arm2,3,arm23,arc
97,9,beaver,3.9168799305,space,1,correct,target,NaN,targetNaN,beaver
98,9,trophy,0.367214964499,right,1,correct,path,1,path1,beaver
99,9,astronaut,0.250263070688,right,1,correct,path,2,path2,beaver
100,9,robot,0.233574458805,right,1,correct,path,3,path3,beaver
101,9,pigeon,0.666980298818,left,1,correct,decision,1,decision1,beaver
102,9,bus,0.666984223004,right,1,correct,arm1,1,arm11,beaver
103,9,deer,0.517038467195,left,1,correct,arm1,2,arm12,beaver
104,9,fist,0.783579922485,left,1,correct,arm1,3,arm13,beaver
105,9,stepladder,0.816754598374,left,1,correct,decision,2,decision2,beaver
106,9,calc,0.533680894499,right,1,correct,arm2,1,arm21,beaver
