pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,1.25024978886,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,1.76691183704,right,1,correct,path,1,path1,lion
3,1,mosquito,0.73359136295,right,1,correct,path,2,path2,lion
4,1,canoe,0.300272760331,left,1,correct,path,3,path3,lion
5,1,goose,0.867019359488,left,1,correct,decision,1,decision1,lion
6,1,sailor,0.900250181323,right,1,correct,arm1,1,arm11,lion
7,1,cooker,0.350277318386,left,1,correct,arm1,2,arm12,lion
8,1,tooth,0.166932303109,right,1,correct,arm1,3,arm13,lion
9,1,crutches,1.10032154084,right,1,correct,decision,2,decision2,lion
10,1,stapler,0.850315956399,left,1,correct,arm2,1,arm21,lion
11,1,rose,0.166928378982,left,1,correct,arm2,2,arm22,lion
12,1,lion,0.266920591006,right,1,correct,arm2,3,arm23,lion
13,2,bolt,0.733599211322,space,1,correct,target,NaN,targetNaN,bolt
14,2,coffeepot,0.883624658105,right,1,correct,path,1,path1,bolt
15,2,mosquito,0.117073845118,right,1,correct,path,2,path2,bolt
16,2,canoe,0.133604584378,left,1,correct,path,3,path3,bolt
17,2,domino,0.650261199102,left,1,correct,decision,1,decision1,bolt
18,2,ambulance,1.01692496787,left,1,correct,arm1,1,arm11,bolt
19,2,trunk,0.251090166159,right,1,correct,arm1,2,arm12,bolt
20,2,peach,0.184387940331,right,1,correct,arm1,3,arm13,bolt
21,2,garlic,0.950300622033,left,1,correct,decision,2,decision2,bolt
22,2,mug,0.650348738418,left,1,correct,arm2,1,arm21,bolt
23,2,branch,0.433420329238,left,1,correct,arm2,2,arm22,bolt
24,2,bolt,0.150390093215,left,1,correct,arm2,3,arm23,bolt
25,3,lion,1.28359199676,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,0.950221836683,right,1,correct,path,1,path1,lion
27,3,mosquito,0.0837814440019,right,1,correct,path,2,path2,lion
28,3,canoe,0.151436338783,left,1,correct,path,3,path3,lion
29,3,goose,0.400699348422,right,1,correct,decision,1,decision1,lion
30,3,sailor,2.03362565418,right,1,correct,arm1,1,arm11,lion
31,3,cooker,0.233605550369,left,1,correct,arm1,2,arm12,lion
32,3,tooth,0.117376006674,right,1,correct,arm1,3,arm13,lion
33,3,crutches,0.783397901105,left,1,correct,decision,2,decision2,lion
34,3,stapler,0.516997716157,left,1,correct,arm2,1,arm21,lion
35,3,rose,0.6836178964,left,1,correct,arm2,2,arm22,lion
