pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,17.6333664171,space,1,correct,target,NaN,targetNaN,beaver
2,1,trophy,1.53357614926,left,1,correct,path,1,path1,beaver
3,1,astronaut,0.233582910849,right,1,correct,path,2,path2,beaver
4,1,robot,0.116890012519,right,1,correct,path,3,path3,beaver
5,1,pigeon,1.45026590815,right,1,correct,decision,1,decision1,beaver
6,1,bus,0.800242876401,right,1,correct,arm1,1,arm11,beaver
7,1,deer,0.483582156245,left,1,correct,arm1,2,arm12,beaver
8,1,fist,0.183560844744,left,1,correct,arm1,3,arm13,beaver
9,1,stepladder,0.700280548539,right,1,correct,decision,2,decision2,beaver
10,1,calc,0.766928439494,right,1,correct,arm2,1,arm21,beaver
11,1,tongue,0.250191831728,right,1,correct,arm2,2,arm22,beaver
12,1,beaver,0.383575153304,left,1,correct,arm2,3,arm23,beaver
13,2,beaver,1.23365988513,space,1,correct,target,NaN,targetNaN,beaver
14,2,trophy,0.466911052121,left,1,correct,path,1,path1,beaver
15,2,astronaut,0.233563289978,right,1,correct,path,2,path2,beaver
16,2,robot,0.183572315611,right,1,correct,path,3,path3,beaver
17,2,pigeon,1.05033298139,right,1,correct,decision,1,decision1,beaver
18,2,bus,0.883618017193,right,1,correct,arm1,1,arm11,beaver
19,2,deer,0.600269621005,left,1,correct,arm1,2,arm12,beaver
20,2,fist,1.0002511472,left,1,correct,arm1,3,arm13,beaver
21,2,stepladder,0.567666667281,right,1,correct,decision,2,decision2,beaver
22,2,calc,0.600265093148,right,1,correct,arm2,1,arm21,beaver
23,2,tongue,0.583667642903,right,1,correct,arm2,2,arm22,beaver
24,2,beaver,0.250243449816,left,1,correct,arm2,3,arm23,beaver
25,3,arc,0.650304364972,space,-1,miss,target,NaN,targetNaN,arc
26,3,trophy,0.500260504894,left,-1,miss,path,1,path1,arc
27,3,astronaut,0.300230802037,right,-1,miss,path,2,path2,arc
28,3,robot,0.216962519335,right,-1,miss,path,3,path3,arc
29,3,pigeon,0.983590910211,left,-1,miss,decision,1,decision1,arc
30,3,bus,0.417047160678,right,-1,miss,arm1,1,arm11,arc
31,3,deer,0.266933571082,left,-1,miss,arm1,2,arm12,arc
32,3,fist,0.833599271718,left,-1,miss,arm1,3,arm13,arc
33,3,stepladder,0.550271703862,left,-1,miss,decision,2,decision2,arc
34,3,calc,0.367064638296,right,-1,miss,arm2,1,arm21,arc
35,3,tongue,0.0835927817971,right,-1,miss,arm2,2,arm22,arc
36,3,beaver,0.233617021237,left,-1,miss,arm2,3,arm23,arc
37,4,beaver,3.25022050831,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,0.433585446561,left,1,correct,path,1,path1,beaver
39,4,astronaut,0.233555743471,right,1,correct,path,2,path2,beaver
40,4,robot,0.133620281005,right,1,correct,path,3,path3,beaver
41,4,pigeon,0.633626620052,right,1,correct,decision,1,decision1,beaver
42,4,bus,0.850268262671,right,1,correct,arm1,1,arm11,beaver
43,4,deer,0.317038648296,left,1,correct,arm1,2,arm12,beaver
44,4,fist,1.21690365672,left,1,correct,arm1,3,arm13,beaver
45,4,stepladder,0.46705232258,right,1,correct,decision,2,decision2,beaver
46,4,calc,0.5502738168,right,1,correct,arm2,1,arm21,beaver
47,4,tongue,0.616970307194,right,1,correct,arm2,2,arm22,beaver
48,4,beaver,0.300262799021,left,1,correct,arm2,3,arm23,beaver
49,5,beaver,0.416944226716,space,1,correct,target,NaN,targetNaN,beaver
50,5,trophy,0.916929737432,left,1,correct,path,1,path1,beaver
51,5,astronaut,0.333627948305,right,1,correct,path,2,path2,beaver
52,5,robot,0.116928650532,right,1,correct,path,3,path3,beaver
53,5,pigeon,0.91704202909,left,1,correct,decision,1,decision1,beaver
54,5,bus,3.86683824356,right,1,correct,arm1,1,arm11,beaver
55,5,deer,0.533563169418,left,1,correct,arm1,2,arm12,beaver
56,5,fist,0.716869546566,left,1,correct,arm1,3,arm13,beaver
57,5,stepladder,0.58357889601,left,1,correct,decision,2,decision2,beaver
58,5,calc,0.350323201157,right,1,correct,arm2,1,arm21,beaver
59,5,tongue,0.0669053771999,right,1,correct,arm2,2,arm22,beaver
60,5,beaver,0.266896140296,left,1,correct,arm2,3,arm23,beaver
