pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,0.866895898711,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,0.733580193948,left,1,correct,path,1,path1,lion
3,1,mosquito,0.86688714521,right,1,correct,path,2,path2,lion
4,1,canoe,0.633582246955,left,1,correct,path,3,path3,lion
5,1,goose,1.53358792188,left,1,correct,decision,1,decision1,lion
6,1,sailor,0.583624477033,left,1,correct,arm1,1,arm11,lion
7,1,cooker,0.566915640607,left,1,correct,arm1,2,arm12,lion
8,1,tooth,0.266891310923,right,1,correct,arm1,3,arm13,lion
9,1,crutches,0.866942083463,left,1,correct,decision,2,decision2,lion
10,1,stapler,1.11692351941,left,1,correct,arm2,1,arm21,lion
11,1,rose,0.60024969792,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.183588012587,right,1,correct,arm2,3,arm23,lion
13,2,lion,0.7171173729,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,0.516943683382,left,1,correct,path,1,path1,lion
15,2,mosquito,0.30024136696,right,1,correct,path,2,path2,lion
16,2,canoe,0.117100107018,left,1,correct,path,3,path3,lion
17,2,goose,0.800264609978,right,1,correct,decision,1,decision1,lion
18,2,sailor,0.483589098789,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.383695293218,left,1,correct,arm1,2,arm12,lion
20,2,tooth,0.25030351989,right,1,correct,arm1,3,arm13,lion
21,2,crutches,0.783432011027,right,1,correct,decision,2,decision2,lion
22,2,stapler,0.533712287899,left,1,correct,arm2,1,arm21,lion
23,2,rose,0.466907429975,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.166948301718,right,1,correct,arm2,3,arm23,lion
25,3,bolt,0.533575847279,space,0,wrong,target,NaN,targetNaN,bolt
26,3,coffeepot,0.166921134107,left,0,wrong,path,1,path1,bolt
27,3,mosquito,0.283581129741,right,0,wrong,path,2,path2,bolt
28,3,canoe,0.066936770454,left,0,wrong,path,3,path3,bolt
29,3,goose,0.533702326473,left,0,wrong,decision,1,decision1,bolt
30,3,sailor,3.43354258267,left,0,wrong,arm1,1,arm11,bolt
31,3,cooker,0.633564436808,left,0,wrong,arm1,2,arm12,bolt
32,3,tooth,0.100235208869,right,0,wrong,arm1,3,arm13,bolt
33,3,garlic,1.93366392981,right,0,wrong,decision,2,decision2,bolt
34,3,mug,0.583593385294,left,0,wrong,arm2,1,arm21,bolt
35,3,branch,0.450276171789,right,0,wrong,arm2,2,arm22,bolt
36,3,bolt,1.20032944949,left,0,wrong,arm2,3,arm23,bolt
37,4,lion,0.750272126403,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,0.316917904187,left,1,correct,path,1,path1,lion
39,4,mosquito,0.150227088947,right,1,correct,path,2,path2,lion
40,4,canoe,0.100240642205,left,1,correct,path,3,path3,lion
41,4,goose,0.733654149808,right,1,correct,decision,1,decision1,lion
42,4,sailor,0.566940996796,left,1,correct,arm1,1,arm11,lion
43,4,cooker,0.550268383697,left,1,correct,arm1,2,arm12,lion
44,4,tooth,0.216910297517,right,1,correct,arm1,3,arm13,lion
45,4,crutches,0.716925088782,left,1,correct,decision,2,decision2,lion
46,4,stapler,0.783552755136,left,1,correct,arm2,1,arm21,lion
47,4,rose,0.550291928463,right,1,correct,arm2,2,arm22,lion
48,4,lion,0.133548136801,right,1,correct,arm2,3,arm23,lion
49,5,lion,0.550291928463,space,1,correct,target,NaN,targetNaN,lion
50,5,coffeepot,0.183556015138,left,1,correct,path,1,path1,lion
51,5,mosquito,0.0836253827438,right,1,correct,path,2,path2,lion
52,5,canoe,0.100237623788,left,1,correct,path,3,path3,lion
53,5,goose,0.75030925544,right,1,correct,decision,1,decision1,lion
54,5,sailor,0.483761762735,left,1,correct,arm1,1,arm11,lion
55,5,cooker,0.483415529598,left,1,correct,arm1,2,arm12,lion
56,5,tooth,0.31705706194,right,1,correct,arm1,3,arm13,lion
57,5,crutches,1.48367875163,right,1,correct,decision,2,decision2,lion
58,5,stapler,0.583629910368,left,1,correct,arm2,1,arm21,lion
59,5,rose,0.583670057822,right,1,correct,arm2,2,arm22,lion
60,5,lion,0.533583696,right,1,correct,arm2,3,arm23,lion
61,6,bolt,0.833558520768,space,1,correct,target,NaN,targetNaN,bolt
62,6,coffeepot,0.266937495209,left,1,correct,path,1,path1,bolt
63,6,mosquito,0.266929345205,right,1,correct,path,2,path2,bolt
64,6,canoe,0.200241306797,left,1,correct,path,3,path3,bolt
65,6,domino,0.533556528389,left,1,correct,decision,1,decision1,bolt
66,6,ambulance,0.516937042587,left,1,correct,arm1,1,arm11,bolt
67,6,trunk,0.366928197909,right,1,correct,arm1,2,arm12,bolt
68,6,peach,0.366965628229,right,1,correct,arm1,3,arm13,bolt
69,6,garlic,0.600262678228,left,1,correct,decision,2,decision2,bolt
70,6,mug,0.616990531795,left,1,correct,arm2,1,arm21,bolt
71,6,branch,0.4503268837,right,1,correct,arm2,2,arm22,bolt
72,6,bolt,1.26691183727,left,1,correct,arm2,3,arm23,bolt
73,7,lion,0.750365401153,space,1,correct,target,NaN,targetNaN,lion
74,7,coffeepot,0.516748379916,left,1,correct,path,1,path1,lion
75,7,mosquito,0.100256339181,right,1,correct,path,2,path2,lion
76,7,canoe,0.166897589341,left,1,correct,path,3,path3,lion
77,7,goose,1.80036512949,right,1,correct,decision,1,decision1,lion
78,7,sailor,0.500280427746,left,1,correct,arm1,1,arm11,lion
79,7,cooker,0.716910599731,left,1,correct,arm1,2,arm12,lion
80,7,tooth,0.166895778384,right,1,correct,arm1,3,arm13,lion
81,7,crutches,0.566937977914,left,1,correct,decision,2,decision2,lion
82,7,stapler,0.550274420995,left,1,correct,arm2,1,arm21,lion
83,7,rose,0.317235762719,right,1,correct,arm2,2,arm22,lion
84,7,lion,0.116913557984,right,1,correct,arm2,3,arm23,lion
85,8,bolt,0.51694519259,space,1,correct,target,NaN,targetNaN,bolt
86,8,coffeepot,0.466923730448,left,1,correct,path,1,path1,bolt
87,8,mosquito,0.650262406562,right,1,correct,path,2,path2,bolt
88,8,canoe,0.300233216956,left,1,correct,path,3,path3,bolt
89,8,domino,0.633595830761,right,1,correct,decision,1,decision1,bolt
90,8,ambulance,0.450286434498,left,1,correct,arm1,1,arm11,bolt
91,8,trunk,0.517086462583,right,1,correct,arm1,2,arm12,bolt
92,8,peach,0.0835936870426,right,1,correct,arm1,3,arm13,bolt
93,8,garlic,0.583599120844,left,1,correct,decision,2,decision2,bolt
94,8,mug,1.43356341077,left,1,correct,arm2,1,arm21,bolt
95,8,branch,0.55034264084,right,1,correct,arm2,2,arm22,bolt
96,8,bolt,1.51691259164,left,1,correct,arm2,3,arm23,bolt
97,9,lion,0.566924998071,space,1,correct,target,NaN,targetNaN,lion
98,9,coffeepot,1.25028812466,left,1,correct,path,1,path1,lion
99,9,mosquito,0.150766210631,right,1,correct,path,2,path2,lion
