pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,arc,10.0837743999,space,-1,miss,target,NaN,targetNaN,arc
2,1,trophy,2.48364164238,right,-1,miss,path,1,path1,arc
3,1,astronaut,0.966977501055,right,-1,miss,path,2,path2,arc
4,1,robot,0.916989001911,right,-1,miss,path,3,path3,arc
5,1,pigeon,12.2003699588,left,-1,miss,decision,1,decision1,arc
6,1,bus,4.55020402675,right,-1,miss,arm1,1,arm11,arc
7,1,deer,1.18353707832,left,-1,miss,arm1,2,arm12,arc
8,1,fist,5.65046235779,left,-1,miss,arm1,3,arm13,arc
9,1,stepladder,10.6835011572,right,-1,miss,decision,2,decision2,arc
10,1,calc,4.75029718038,right,-1,miss,arm2,1,arm21,arc
11,1,tongue,1.13369769766,right,-1,miss,arm2,2,arm22,arc
12,1,beaver,1.15030780598,left,-1,miss,arm2,3,arm23,arc
13,2,beaver,7.96690716804,space,-1,miss,target,NaN,targetNaN,beaver
14,2,trophy,5.11666860874,right,-1,miss,path,1,path1,beaver
15,2,astronaut,1.3336501848,right,-1,miss,path,2,path2,beaver
16,2,robot,0.900359574705,right,-1,miss,path,3,path3,beaver
17,2,watch,5.18359352602,left,-1,miss,decision,1,decision1,beaver
18,2,clover,8.45021284116,left,-1,miss,arm1,1,arm11,beaver
19,2,radio,1.08356370218,right,-1,miss,arm1,2,arm12,beaver
20,2,wing,1.15028939256,left,-1,miss,arm1,3,arm13,beaver
21,2,holly,3.11671298184,right,-1,miss,decision,2,decision2,beaver
22,2,match,3.41688667191,right,-1,miss,arm2,1,arm21,beaver
23,2,baby,1.00059104036,left,-1,miss,arm2,2,arm22,beaver
24,2,arc,2.60030210065,left,-1,miss,arm2,3,arm23,beaver
25,3,arc,2.70047108177,space,-1,miss,target,NaN,targetNaN,arc
26,3,trophy,2.91694281739,right,-1,miss,path,1,path1,arc
27,3,astronaut,0.733637265395,right,-1,miss,path,2,path2,arc
28,3,robot,1.80024885293,right,-1,miss,path,3,path3,arc
29,3,watch,8.11683221627,right,-1,miss,decision,1,decision1,arc
30,3,clover,7.78418390243,left,-1,miss,arm1,1,arm11,arc
31,3,radio,0.733815966174,right,-1,miss,arm1,2,arm12,arc
32,3,wing,0.733639378333,left,-1,miss,arm1,3,arm13,arc
33,3,stepladder,2.5502239496,left,-1,miss,decision,2,decision2,arc
34,3,calc,5.70025766711,right,-1,miss,arm2,1,arm21,arc
35,3,tongue,0.566928841406,right,-1,miss,arm2,2,arm22,arc
36,3,beaver,0.700302342186,left,-1,miss,arm2,3,arm23,arc
37,4,beaver,8.28333205543,space,-1,miss,target,NaN,targetNaN,beaver
38,4,trophy,1.03369232453,right,-1,miss,path,1,path1,beaver
39,4,astronaut,0.500274390215,right,-1,miss,path,2,path2,beaver
40,4,robot,4.43365072832,right,-1,miss,path,3,path3,beaver
41,4,pigeon,2.40069403499,left,-1,miss,decision,1,decision1,beaver
42,4,bus,1.16699971794,right,-1,miss,arm1,1,arm11,beaver
43,4,deer,8.70018190052,left,-1,miss,arm1,2,arm12,beaver
44,4,fist,4.45049749431,left,-1,miss,arm1,3,arm13,beaver
45,4,holly,4.41690116096,left,-1,miss,decision,2,decision2,beaver
46,4,match,1.60032353294,right,-1,miss,arm2,1,arm21,beaver
47,4,baby,0.950400597649,left,-1,miss,arm2,2,arm22,beaver
48,4,arc,1.25029718038,left,-1,miss,arm2,3,arm23,beaver
49,5,arc,2.183578433,space,0,wrong,target,NaN,targetNaN,arc
50,5,trophy,2.81699449592,right,0,wrong,path,1,path1,arc
51,5,astronaut,0.533580334857,right,0,wrong,path,2,path2,arc
52,5,robot,1.06696415902,right,0,wrong,path,3,path3,arc
53,5,pigeon,3.76694351179,left,0,wrong,decision,1,decision1,arc
54,5,bus,1.18353798403,right,0,wrong,arm1,1,arm11,arc
55,5,deer,2.76709957328,left,0,wrong,arm1,2,arm12,arc
56,5,fist,0.983596363338,left,0,wrong,arm1,3,arm13,arc
57,5,holly,2.43362416467,left,0,wrong,decision,2,decision2,arc
58,5,match,0.766949851066,right,0,wrong,arm2,1,arm21,arc
59,5,baby,0.866963374196,left,0,wrong,arm2,2,arm22,arc
60,5,arc,1.2005456409,left,0,wrong,arm2,3,arm23,arc
61,6,arc,29.8665830314,space,0,wrong,target,NaN,targetNaN,arc
62,6,trophy,0.716982482001,right,0,wrong,path,1,path1,arc
63,6,astronaut,0.500327215297,right,0,wrong,path,2,path2,arc
64,6,robot,1.03359391843,right,0,wrong,path,3,path3,arc
