pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,1.450257516,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,1.11690586992,left,1,correct,path,1,path1,lion
3,1,mosquito,0.150220266543,left,1,correct,path,2,path2,lion
4,1,canoe,0.1143216528,right,1,correct,path,3,path3,lion
5,1,goose,2.50022639451,left,1,correct,decision,1,decision1,lion
6,1,sailor,0.800254588015,left,1,correct,arm1,1,arm11,lion
7,1,cooker,0.200262798462,right,1,correct,arm1,2,arm12,lion
8,1,tooth,0.216916676611,left,1,correct,arm1,3,arm13,lion
9,1,crutches,0.666954741115,right,1,correct,decision,2,decision2,lion
10,1,stapler,1.01693792758,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.26696494408,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.283578070812,left,1,correct,arm2,3,arm23,lion
13,2,lion,0.833642638288,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,0.817383894464,left,1,correct,path,1,path1,lion
15,2,mosquito,0.11691794428,left,1,correct,path,2,path2,lion
16,2,canoe,0.233591080876,right,1,correct,path,3,path3,lion
17,2,goose,0.733695222298,left,1,correct,decision,1,decision1,lion
18,2,sailor,0.567284431774,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.150344330817,right,1,correct,arm1,2,arm12,lion
20,2,tooth,0.217268644366,left,1,correct,arm1,3,arm13,lion
21,2,crutches,0.600329268025,left,1,correct,decision,2,decision2,lion
22,2,stapler,0.467066549696,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.083583323285,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.250238016015,left,1,correct,arm2,3,arm23,lion
25,3,bolt,0.567106334958,space,1,correct,target,NaN,targetNaN,bolt
26,3,coffeepot,0.533752998337,left,1,correct,path,1,path1,bolt
27,3,mosquito,0.066921596881,left,1,correct,path,2,path2,bolt
28,3,canoe,0.150332558434,right,1,correct,path,3,path3,bolt
29,3,domino,0.666914291913,left,1,correct,decision,1,decision1,bolt
30,3,ambulance,0.466961200815,right,1,correct,arm1,1,arm11,bolt
31,3,trunk,0.366934999358,left,1,correct,arm1,2,arm12,bolt
32,3,peach,0.1502773182,left,1,correct,arm1,3,arm13,bolt
33,3,garlic,0.716952597722,left,1,correct,decision,2,decision2,bolt
34,3,mug,0.88470243616,right,1,correct,arm2,1,arm21,bolt
35,3,branch,0.416924102232,right,1,correct,arm2,2,arm22,bolt
36,3,bolt,0.233577799285,right,1,correct,arm2,3,arm23,bolt
37,4,bolt,0.483578251908,space,1,correct,target,NaN,targetNaN,bolt
38,4,coffeepot,0.450490249554,left,1,correct,path,1,path1,bolt
39,4,mosquito,0.050243268488,left,1,correct,path,2,path2,bolt
40,4,canoe,0.283627575729,right,1,correct,path,3,path3,bolt
41,4,domino,1.36702555721,left,1,correct,decision,1,decision1,bolt
42,4,ambulance,0.48400598648,right,1,correct,arm1,1,arm11,bolt
43,4,trunk,0.183752002195,left,1,correct,arm1,2,arm12,bolt
44,4,peach,0.183626730461,left,1,correct,arm1,3,arm13,bolt
45,4,garlic,0.466945806053,right,1,correct,decision,2,decision2,bolt
46,4,mug,0.533651875332,right,1,correct,arm2,1,arm21,bolt
47,4,branch,0.150235963287,right,1,correct,arm2,2,arm22,bolt
48,4,bolt,0.333673126064,right,1,correct,arm2,3,arm23,bolt
49,5,bolt,3.06689895759,space,1,correct,target,NaN,targetNaN,bolt
50,5,coffeepot,0.600292743184,left,1,correct,path,1,path1,bolt
51,5,mosquito,0.166684878757,left,1,correct,path,2,path2,bolt
52,5,canoe,0.114336443832,right,1,correct,path,3,path3,bolt
53,5,domino,4.5669448399,left,1,correct,decision,1,decision1,bolt
54,5,ambulance,0.73358111945,right,1,correct,arm1,1,arm11,bolt
55,5,trunk,0.183677442838,left,1,correct,arm1,2,arm12,bolt
56,5,peach,0.216754880035,left,1,correct,arm1,3,arm13,bolt
57,5,garlic,0.400413003983,right,1,correct,decision,2,decision2,bolt
58,5,mug,0.950256006792,right,1,correct,arm2,1,arm21,bolt
59,5,branch,0.150261319475,right,1,correct,arm2,2,arm22,bolt
60,5,bolt,0.233555159532,right,1,correct,arm2,3,arm23,bolt
61,6,bolt,0.466977501288,space,-1,miss,target,NaN,targetNaN,bolt
62,6,coffeepot,0.433650124585,left,-1,miss,path,1,path1,bolt
63,6,mosquito,0.0669496699702,left,-1,miss,path,2,path2,bolt
64,6,canoe,0.383599744411,right,-1,miss,path,3,path3,bolt
65,6,domino,0.800232854206,left,-1,miss,decision,1,decision1,bolt
66,6,ambulance,0.483517879853,right,-1,miss,arm1,1,arm11,bolt
67,6,trunk,0.201045519905,left,-1,miss,arm1,2,arm12,bolt
68,6,peach,0.167133139679,left,-1,miss,arm1,3,arm13,bolt
69,6,crutches,0.516919212183,right,-1,miss,decision,2,decision2,bolt
70,6,stapler,0.766970377415,right,-1,miss,arm2,1,arm21,bolt
71,6,rose,0.200238347985,right,-1,miss,arm2,2,arm22,bolt
72,6,lion,1.48370684404,left,-1,miss,arm2,3,arm23,bolt
73,7,bolt,5.75024526054,space,1,correct,target,NaN,targetNaN,bolt
74,7,coffeepot,1.00030668895,left,1,correct,path,1,path1,bolt
