pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,arc,1.80035951454,space,0,wrong,target,NaN,targetNaN,arc
2,1,trophy,1.2836561217,right,0,wrong,path,1,path1,arc
3,1,astronaut,0.800264127087,right,0,wrong,path,2,path2,arc
4,1,robot,0.966869415715,right,0,wrong,path,3,path3,arc
5,1,pigeon,0.916926467093,left,0,wrong,decision,1,decision1,arc
6,1,bus,2.33362110611,right,0,wrong,arm1,1,arm11,arc
7,1,deer,2.10023363936,left,0,wrong,arm1,2,arm12,arc
8,1,fist,0.883579751244,left,0,wrong,arm1,3,arm13,arc
9,1,holly,2.88359997584,right,0,wrong,decision,2,decision2,arc
10,1,match,1.98357220483,right,0,wrong,arm2,1,arm21,arc
11,1,baby,1.08358518477,right,0,wrong,arm2,2,arm22,arc
12,1,arc,1.08358941064,left,0,wrong,arm2,3,arm23,arc
13,2,beaver,1.38361446513,space,1,correct,target,NaN,targetNaN,beaver
14,2,trophy,0.633586090291,right,1,correct,path,1,path1,beaver
15,2,astronaut,0.550253561931,right,1,correct,path,2,path2,beaver
16,2,robot,0.51695967163,right,1,correct,path,3,path3,beaver
17,2,pigeon,2.58358759969,right,1,correct,decision,1,decision1,beaver
18,2,bus,2.20025326009,right,1,correct,arm1,1,arm11,beaver
19,2,deer,0.516940654488,left,1,correct,arm1,2,arm12,beaver
20,2,fist,0.43358156248,left,1,correct,arm1,3,arm13,beaver
21,2,stepladder,2.05029974645,left,1,correct,decision,2,decision2,beaver
22,2,calc,2.40147760208,right,1,correct,arm2,1,arm21,beaver
23,2,tongue,2.35031453753,right,1,correct,arm2,2,arm22,beaver
24,2,beaver,3.75002143206,left,1,correct,arm2,3,arm23,beaver
25,3,beaver,4.23364917887,space,1,correct,target,NaN,targetNaN,beaver
26,3,trophy,0.966960275313,right,1,correct,path,1,path1,beaver
27,3,astronaut,0.500250543235,right,1,correct,path,2,path2,beaver
28,3,robot,0.383605107432,right,1,correct,path,3,path3,beaver
29,3,pigeon,0.833687816979,right,1,correct,decision,1,decision1,beaver
30,3,bus,0.933786223177,right,1,correct,arm1,1,arm11,beaver
31,3,deer,0.45064899791,left,1,correct,arm1,2,arm12,beaver
32,3,fist,0.200271069771,left,1,correct,arm1,3,arm13,beaver
33,3,stepladder,0.850342308637,left,1,correct,decision,2,decision2,beaver
34,3,calc,0.633387466893,right,1,correct,arm2,1,arm21,beaver
35,3,tongue,2.50130312727,right,1,correct,arm2,2,arm22,beaver
36,3,beaver,0.883599673864,left,1,correct,arm2,3,arm23,beaver
37,4,arc,1.30028887955,space,-1,miss,target,NaN,targetNaN,arc
38,4,trophy,1.13358216616,right,-1,miss,path,1,path1,arc
39,4,astronaut,0.166937937494,right,-1,miss,path,2,path2,arc
40,4,robot,0.200238770805,right,-1,miss,path,3,path3,arc
41,4,pigeon,0.483788336162,left,-1,miss,decision,1,decision1,arc
42,4,bus,0.466947898967,right,-1,miss,arm1,1,arm11,arc
43,4,deer,0.500289784977,left,-1,miss,arm1,2,arm12,arc
44,4,fist,0.366984424181,left,-1,miss,arm1,3,arm13,arc
45,4,stepladder,0.616945182206,left,-1,miss,decision,2,decision2,arc
46,4,calc,1.26707498194,right,-1,miss,arm2,1,arm21,arc
47,4,tongue,0.650237563532,right,-1,miss,arm2,2,arm22,arc
48,4,beaver,0.800286766607,left,-1,miss,arm2,3,arm23,arc
49,5,arc,2.98359152372,space,-1,miss,target,NaN,targetNaN,arc
50,5,trophy,0.500259901164,right,-1,miss,path,1,path1,arc
51,5,astronaut,1.10031121713,right,-1,miss,path,2,path2,arc
52,5,robot,0.166911072098,right,-1,miss,path,3,path3,arc
53,5,pigeon,0.700338384369,right,-1,miss,decision,1,decision1,arc
54,5,bus,0.650272880914,right,-1,miss,arm1,1,arm11,arc
55,5,deer,0.717699830886,left,-1,miss,arm1,2,arm12,arc
56,5,fist,0.167017628672,left,-1,miss,arm1,3,arm13,arc
57,5,stepladder,2.05031997105,right,-1,miss,decision,2,decision2,arc
58,5,calc,0.583640726749,right,-1,miss,arm2,1,arm21,arc
59,5,tongue,0.983594844118,right,-1,miss,arm2,2,arm22,arc
60,5,beaver,0.451242453419,left,-1,miss,arm2,3,arm23,arc
61,6,beaver,1.48365551815,space,1,correct,target,NaN,targetNaN,beaver
62,6,trophy,0.466985329753,right,1,correct,path,1,path1,beaver
63,6,astronaut,0.216771613108,right,1,correct,path,2,path2,beaver
64,6,robot,0.183637104463,right,1,correct,path,3,path3,beaver
65,6,pigeon,0.500329328701,left,1,correct,decision,1,decision1,beaver
66,6,bus,3.50032691378,right,1,correct,arm1,1,arm11,beaver
67,6,deer,0.666926768841,left,1,correct,arm1,2,arm12,beaver
68,6,fist,0.483582769986,left,1,correct,arm1,3,arm13,beaver
69,6,stepladder,1.18359846668,left,1,correct,decision,2,decision2,beaver
70,6,calc,1.63356948807,right,1,correct,arm2,1,arm21,beaver
71,6,tongue,0.716975670075,right,1,correct,arm2,2,arm22,beaver
72,6,beaver,2.28355680988,left,1,correct,arm2,3,arm23,beaver
73,7,beaver,2.65039181337,space,1,correct,target,NaN,targetNaN,beaver
74,7,trophy,1.70028525707,right,1,correct,path,1,path1,beaver
75,7,astronaut,0.183581260731,right,1,correct,path,2,path2,beaver
76,7,robot,0.250246317359,right,1,correct,path,3,path3,beaver
77,7,pigeon,0.550278314389,right,1,correct,decision,1,decision1,beaver
78,7,bus,1.65023695957,right,1,correct,arm1,1,arm11,beaver
79,7,deer,0.283664573915,left,1,correct,arm1,2,arm12,beaver
80,7,fist,0.250233035535,left,1,correct,arm1,3,arm13,beaver
81,7,stepladder,0.666959671536,left,1,correct,decision,2,decision2,beaver
82,7,calc,0.434325947892,right,1,correct,arm2,1,arm21,beaver
83,7,tongue,0.450261410326,right,1,correct,arm2,2,arm22,beaver
84,7,beaver,0.366912279744,left,1,correct,arm2,3,arm23,beaver
85,8,beaver,2.23368419451,space,1,correct,target,NaN,targetNaN,beaver
86,8,trophy,0.550227602012,right,1,correct,path,1,path1,beaver
87,8,astronaut,0.166952427011,right,1,correct,path,2,path2,beaver
88,8,robot,0.266907148063,right,1,correct,path,3,path3,beaver
89,8,pigeon,0.450501388405,right,1,correct,decision,1,decision1,beaver
90,8,bus,0.666906845989,right,1,correct,arm1,1,arm11,beaver
91,8,deer,0.450307896594,left,1,correct,arm1,2,arm12,beaver
92,8,fist,0.23416596232,left,1,correct,arm1,3,arm13,beaver
93,8,stepladder,0.883630765369,right,1,correct,decision,2,decision2,beaver
94,8,calc,0.550236355979,right,1,correct,arm2,1,arm21,beaver
95,8,tongue,2.50030668918,right,1,correct,arm2,2,arm22,beaver
96,8,beaver,0.316928881919,left,1,correct,arm2,3,arm23,beaver
97,9,arc,2.63366185687,space,-1,miss,target,NaN,targetNaN,arc
98,9,trophy,0.500265032751,right,-1,miss,path,1,path1,arc
99,9,astronaut,0.266890545608,right,-1,miss,path,2,path2,arc
100,9,robot,0.217184556881,right,-1,miss,path,3,path3,arc
101,9,pigeon,0.366902016336,left,-1,miss,decision,1,decision1,arc
102,9,bus,0.416942465585,right,-1,miss,arm1,1,arm11,arc
103,9,deer,0.28360722051,left,-1,miss,arm1,2,arm12,arc
104,9,fist,0.55049867183,left,-1,miss,arm1,3,arm13,arc
