pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,bolt,0.68362533208,space,-1,miss,target,NaN,targetNaN,bolt
2,1,coffeepot,0.550050410442,left,-1,miss,path,1,path1,bolt
3,1,mosquito,1.0502683532,left,-1,miss,path,2,path2,bolt
4,1,canoe,0.467041173484,right,-1,miss,path,3,path3,bolt
5,1,goose,0.716963897692,right,-1,miss,decision,1,decision1,bolt
6,1,sailor,0.767533204518,left,-1,miss,arm1,1,arm11,bolt
7,1,cooker,0.866934013553,right,-1,miss,arm1,2,arm12,bolt
8,1,tooth,0.583601183258,left,-1,miss,arm1,3,arm13,bolt
9,1,crutches,0.833611446666,left,-1,miss,decision,2,decision2,bolt
10,1,stapler,1.33356948802,right,-1,miss,arm2,1,arm21,bolt
11,1,rose,0.416910468601,right,-1,miss,arm2,2,arm22,bolt
12,1,lion,0.650262919487,left,-1,miss,arm2,3,arm23,bolt
13,2,lion,1.83365068818,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,0.566904431209,left,1,correct,path,1,path1,lion
15,2,mosquito,0.767121166224,left,1,correct,path,2,path2,lion
16,2,canoe,0.333571299212,right,1,correct,path,3,path3,lion
17,2,goose,0.417021552799,left,1,correct,decision,1,decision1,lion
18,2,sailor,1.50024933601,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.383786525112,right,1,correct,arm1,2,arm12,lion
20,2,tooth,0.734139398672,left,1,correct,arm1,3,arm13,lion
21,2,crutches,0.500442224089,left,1,correct,decision,2,decision2,lion
22,2,stapler,0.416931900429,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.233566469513,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.333865310298,left,1,correct,arm2,3,arm23,lion
25,3,lion,0.266982914647,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,0.417665117187,left,1,correct,path,1,path1,lion
27,3,mosquito,0.383574015927,left,1,correct,path,2,path2,lion
28,3,canoe,0.333545037312,right,1,correct,path,3,path3,lion
29,3,goose,0.400382455904,left,1,correct,decision,1,decision1,lion
30,3,sailor,0.58361718175,left,1,correct,arm1,1,arm11,lion
31,3,cooker,0.367406725418,right,1,correct,arm1,2,arm12,lion
32,3,tooth,0.333562545246,left,1,correct,arm1,3,arm13,lion
33,3,crutches,0.833625633968,right,1,correct,decision,2,decision2,lion
34,3,stapler,0.517464380478,right,1,correct,arm2,1,arm21,lion
35,3,rose,1.43356948812,right,1,correct,arm2,2,arm22,lion
36,3,lion,0.383597862907,left,1,correct,arm2,3,arm23,lion
37,4,lion,1.26742785564,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,0.666926165111,left,1,correct,path,1,path1,lion
39,4,mosquito,0.350278918166,left,1,correct,path,2,path2,lion
40,4,canoe,0.114355832106,right,1,correct,path,3,path3,lion
41,4,goose,0.55031966907,left,1,correct,decision,1,decision1,lion
42,4,sailor,0.933916928247,left,1,correct,arm1,1,arm11,lion
43,4,cooker,0.450352571905,right,1,correct,arm1,2,arm12,lion
44,4,tooth,0.33376992261,left,1,correct,arm1,3,arm13,lion
45,4,crutches,0.633630765602,left,1,correct,decision,2,decision2,lion
46,4,stapler,0.38359212759,right,1,correct,arm2,1,arm21,lion
47,4,rose,0.166985329706,right,1,correct,arm2,2,arm22,lion
48,4,lion,0.416928580031,left,1,correct,arm2,3,arm23,lion
49,5,bolt,0.433603296289,space,-1,miss,target,NaN,targetNaN,bolt
50,5,coffeepot,0.250429847743,left,-1,miss,path,1,path1,bolt
51,5,mosquito,0.43357975129,left,-1,miss,path,2,path2,bolt
52,5,canoe,0.500063088723,right,-1,miss,path,3,path3,bolt
53,5,goose,0.483603900066,right,-1,miss,decision,1,decision1,bolt
54,5,sailor,0.45027348469,left,-1,miss,arm1,1,arm11,bolt
55,5,cooker,0.50028223847,right,-1,miss,arm1,2,arm12,bolt
56,5,tooth,0.350338988239,left,-1,miss,arm1,3,arm13,bolt
57,5,crutches,0.466970538488,left,-1,miss,decision,2,decision2,bolt
58,5,stapler,0.451213776832,right,-1,miss,arm2,1,arm21,bolt
