pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,2.90030185925,space,1,correct,target,NaN,targetNaN,beaver
2,1,trophy,4.51695816219,right,1,correct,path,1,path1,beaver
3,1,astronaut,1.05029461486,right,1,correct,path,2,path2,beaver
4,1,robot,1.23367815744,right,1,correct,path,3,path3,beaver
5,1,pigeon,6.65023726178,right,1,correct,decision,1,decision1,beaver
6,1,bus,6.99995532492,right,1,correct,arm1,1,arm11,beaver
7,1,deer,2.65024178941,left,1,correct,arm1,2,arm12,beaver
8,1,fist,0.933544433676,left,1,correct,arm1,3,arm13,beaver
9,1,stepladder,4.30029612407,left,1,correct,decision,2,decision2,beaver
10,1,calc,2.26697657583,right,1,correct,arm2,1,arm21,beaver
11,1,tongue,0.900275597814,right,1,correct,arm2,2,arm22,beaver
12,1,beaver,1.05028465344,left,1,correct,arm2,3,arm23,beaver
13,2,arc,4.48359273095,space,-1,miss,target,NaN,targetNaN,arc
14,2,trophy,3.1336111445,right,-1,miss,path,1,path1,arc
15,2,astronaut,1.3669545399,right,-1,miss,path,2,path2,arc
16,2,robot,1.73367181839,right,-1,miss,path,3,path3,arc
17,2,watch,2.20033536572,left,-1,miss,decision,1,decision1,arc
18,2,clover,5.36686428403,left,-1,miss,arm1,1,arm11,arc
19,2,radio,1.03340859665,right,-1,miss,arm1,2,arm12,arc
20,2,wing,0.816910770256,left,-1,miss,arm1,3,arm13,arc
21,2,stepladder,2.46690895921,left,-1,miss,decision,2,decision2,arc
22,2,calc,1.63358337386,right,-1,miss,arm2,1,arm21,arc
23,2,tongue,0.616978688631,right,-1,miss,arm2,2,arm22,arc
24,2,beaver,1.4836180876,left,-1,miss,arm2,3,arm23,arc
25,3,beaver,3.20025537303,space,1,correct,target,NaN,targetNaN,beaver
26,3,trophy,2.3169358247,right,1,correct,path,1,path1,beaver
27,3,astronaut,0.566717882175,right,1,correct,path,2,path2,beaver
28,3,robot,1.73359695729,right,1,correct,path,3,path3,beaver
29,3,pigeon,1.25024631759,right,1,correct,decision,1,decision1,beaver
30,3,bus,2.78335184744,right,1,correct,arm1,1,arm11,beaver
31,3,deer,0.666705808137,left,1,correct,arm1,2,arm12,beaver
32,3,fist,0.400288275443,left,1,correct,arm1,3,arm13,beaver
33,3,stepladder,1.11703574006,left,1,correct,decision,2,decision2,beaver
34,3,calc,1.10025507119,right,1,correct,arm2,1,arm21,beaver
35,3,tongue,0.433596655261,right,1,correct,arm2,2,arm22,beaver
36,3,beaver,0.516946993303,left,1,correct,arm2,3,arm23,beaver
37,4,beaver,1.31695816247,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,1.51695725648,right,1,correct,path,1,path1,beaver
39,4,astronaut,0.450155457482,right,1,correct,path,2,path2,beaver
40,4,robot,0.667095810175,right,1,correct,path,3,path3,beaver
41,4,pigeon,2.2502559768,left,1,correct,decision,1,decision1,beaver
42,4,bus,2.90019288845,right,1,correct,arm1,1,arm11,beaver
43,4,deer,1.16703151446,left,1,correct,arm1,2,arm12,beaver
44,4,fist,0.500295822509,left,1,correct,arm1,3,arm13,beaver
45,4,stepladder,0.833572506439,left,1,correct,decision,2,decision2,beaver
46,4,calc,1.16692827828,right,1,correct,arm2,1,arm21,beaver
47,4,tongue,0.400063088629,right,1,correct,arm2,2,arm22,beaver
48,4,beaver,0.483451159205,left,1,correct,arm2,3,arm23,beaver
49,5,beaver,0.63379376987,space,1,correct,target,NaN,targetNaN,beaver
50,5,trophy,1.08371226722,right,1,correct,path,1,path1,beaver
51,5,astronaut,0.433920852374,right,1,correct,path,2,path2,beaver
52,5,robot,0.350367061328,right,1,correct,path,3,path3,beaver
53,5,pigeon,0.617073472589,left,1,correct,decision,1,decision1,beaver
54,5,bus,2.16687152861,right,1,correct,arm1,1,arm11,beaver
55,5,deer,0.533629860263,left,1,correct,arm1,2,arm12,beaver
56,5,fist,0.283574015833,left,1,correct,arm1,3,arm13,beaver
57,5,stepladder,0.617280849721,left,1,correct,decision,2,decision2,beaver
58,5,calc,0.783621106297,right,1,correct,arm2,1,arm21,beaver
59,5,tongue,0.250288276002,right,1,correct,arm2,2,arm22,beaver
60,5,beaver,0.366996498313,left,1,correct,arm2,3,arm23,beaver
61,6,arc,0.967202366795,space,-1,miss,target,NaN,targetNaN,arc
