pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,0.750365928571,space,0,wrong,target,NaN,targetNaN,lion
2,1,coffeepot,19.8832644843,right,0,wrong,path,1,path1,lion
3,1,mosquito,0.114078250908,left,0,wrong,path,2,path2,lion
4,1,canoe,6.1838010387,right,0,wrong,path,3,path3,lion
5,1,domino,5.40027921957,left,0,wrong,decision,1,decision1,lion
6,1,ambulance,2.36691987606,right,0,wrong,arm1,1,arm11,lion
7,1,trunk,4.20021281059,left,0,wrong,arm1,2,arm12,lion
8,1,peach,1.38359335971,left,0,wrong,arm1,3,arm13,lion
9,1,crutches,3.61682230014,right,0,wrong,decision,2,decision2,lion
10,1,stapler,2.10027363518,right,0,wrong,arm2,1,arm21,lion
11,1,rose,3.45023658199,right,0,wrong,arm2,2,arm22,lion
12,1,lion,2.78356739983,left,0,wrong,arm2,3,arm23,lion
13,2,bolt,2.01694364745,space,-1,miss,target,NaN,targetNaN,bolt
14,2,coffeepot,2.06708393642,right,-1,miss,path,1,path1,bolt
15,2,mosquito,2.05023326154,left,-1,miss,path,2,path2,bolt
16,2,canoe,3.06703805385,right,-1,miss,path,3,path3,bolt
17,2,domino,1.55011991349,left,-1,miss,decision,1,decision1,bolt
18,2,ambulance,3.60041294311,right,-1,miss,arm1,1,arm11,bolt
19,2,trunk,2.91687829498,left,-1,miss,arm1,2,arm12,bolt
20,2,peach,2.10002218664,left,-1,miss,arm1,3,arm13,bolt
21,2,crutches,1.23357607828,right,-1,miss,decision,2,decision2,bolt
22,2,stapler,2.650377852,right,-1,miss,arm2,1,arm21,bolt
23,2,rose,2.18357253143,right,-1,miss,arm2,2,arm22,bolt
24,2,lion,0.800258089444,left,-1,miss,arm2,3,arm23,bolt
25,3,bolt,1.55039611447,space,-1,miss,target,NaN,targetNaN,bolt
26,3,coffeepot,1.91691723479,right,-1,miss,path,1,path1,bolt
27,3,mosquito,5.58357766304,left,-1,miss,path,2,path2,bolt
28,3,canoe,2.78338900116,right,-1,miss,path,3,path3,bolt
29,3,domino,2.95023009202,right,-1,miss,decision,1,decision1,bolt
30,3,ambulance,1.18355321246,right,-1,miss,arm1,1,arm11,bolt
31,3,trunk,0.933591322158,left,-1,miss,arm1,2,arm12,bolt
32,3,peach,0.666987945261,left,-1,miss,arm1,3,arm13,bolt
33,3,crutches,1.11692568684,left,-1,miss,decision,2,decision2,bolt
34,3,stapler,6.36685075035,right,-1,miss,arm2,1,arm21,bolt
35,3,rose,0.683617961214,right,-1,miss,arm2,2,arm22,bolt
36,3,lion,0.466930290192,left,-1,miss,arm2,3,arm23,bolt
37,4,bolt,2.43361109392,space,0,wrong,target,NaN,targetNaN,bolt
38,4,coffeepot,1.75022646971,right,0,wrong,path,1,path1,bolt
39,4,mosquito,1.23363826123,left,0,wrong,path,2,path2,bolt
40,4,canoe,1.16694191176,right,0,wrong,path,3,path3,bolt
41,4,goose,6.76681422541,right,0,wrong,decision,1,decision1,bolt
42,4,sailor,10.9501008964,left,0,wrong,arm1,1,arm11,bolt
43,4,cooker,1.06699518988,right,0,wrong,arm1,2,arm12,bolt
44,4,tooth,0.766955495418,left,0,wrong,arm1,3,arm13,bolt
45,4,garlic,2.16691685747,left,0,wrong,decision,2,decision2,bolt
46,4,mug,4.06687987974,right,0,wrong,arm2,1,arm21,bolt
47,4,branch,1.75024850542,left,0,wrong,arm2,2,arm22,bolt
48,4,bolt,1.25024080802,right,0,wrong,arm2,3,arm23,bolt
49,5,lion,1.11696734338,space,-1,miss,target,NaN,targetNaN,lion
50,5,coffeepot,1.3002455623,right,-1,miss,path,1,path1,lion
51,5,mosquito,2.71687316338,left,-1,miss,path,2,path2,lion
52,5,canoe,0.366700122706,right,-1,miss,path,3,path3,lion
53,5,domino,1.68357871954,right,-1,miss,decision,1,decision1,lion
54,5,ambulance,1.25080951037,right,-1,miss,arm1,1,arm11,lion
55,5,trunk,0.483592303199,left,-1,miss,arm1,2,arm12,lion
56,5,peach,0.400243902071,left,-1,miss,arm1,3,arm13,lion
57,5,garlic,2.23355464629,right,-1,miss,decision,2,decision2,lion
58,5,mug,1.41702001778,right,-1,miss,arm2,1,arm21,lion
59,5,branch,1.26688863365,left,-1,miss,arm2,2,arm22,lion
60,5,bolt,0.900303821082,right,-1,miss,arm2,3,arm23,lion
61,6,lion,1.56693859131,space,-1,miss,target,NaN,targetNaN,lion
62,6,coffeepot,7.03361139578,right,-1,miss,path,1,path1,lion
63,6,mosquito,1.56683233695,left,-1,miss,path,2,path2,lion
64,6,canoe,0.583588228103,right,-1,miss,path,3,path3,lion
65,6,goose,1.68368648321,right,-1,miss,decision,1,decision1,lion
66,6,sailor,2.91687950242,left,-1,miss,arm1,1,arm11,lion
67,6,cooker,0.5835830965,right,-1,miss,arm1,2,arm12,lion
68,6,tooth,0.483357155039,left,-1,miss,arm1,3,arm13,lion
69,6,garlic,1.43385076997,right,-1,miss,decision,2,decision2,lion
70,6,mug,0.850967080767,right,-1,miss,arm2,1,arm21,lion
71,6,branch,0.616969305468,left,-1,miss,arm2,2,arm22,lion
72,6,bolt,0.433604151165,right,-1,miss,arm2,3,arm23,lion
73,7,bolt,2.5836265642,space,-1,miss,target,NaN,targetNaN,bolt
74,7,coffeepot,3.61690470764,right,-1,miss,path,1,path1,bolt
75,7,mosquito,0.566911725864,left,-1,miss,path,2,path2,bolt
76,7,canoe,0.383560155216,right,-1,miss,path,3,path3,bolt
77,7,domino,2.30030050063,right,-1,miss,decision,1,decision1,bolt
78,7,ambulance,1.11690274556,right,-1,miss,arm1,1,arm11,bolt
79,7,trunk,0.516908782738,left,-1,miss,arm1,2,arm12,bolt
80,7,peach,0.416904405783,left,-1,miss,arm1,3,arm13,bolt
81,7,crutches,2.51690848088,left,-1,miss,decision,2,decision2,bolt
82,7,stapler,1.65020971654,right,-1,miss,arm2,1,arm21,bolt
83,7,rose,0.900253712488,right,-1,miss,arm2,2,arm22,bolt
84,7,lion,0.450234770836,left,-1,miss,arm2,3,arm23,bolt
85,8,bolt,1.3171439309,space,-1,miss,target,NaN,targetNaN,bolt
86,8,coffeepot,1.08357932326,right,-1,miss,path,1,path1,bolt
87,8,mosquito,0.250413169505,left,-1,miss,path,2,path2,bolt
88,8,canoe,0.250253184235,right,-1,miss,path,3,path3,bolt
89,8,goose,1.10047588071,right,-1,miss,decision,1,decision1,bolt
90,8,sailor,1.46691127308,left,-1,miss,arm1,1,arm11,bolt
91,8,cooker,3.46688953923,right,-1,miss,arm1,2,arm12,bolt
