pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,bolt,1.26703640392,space,1,correct,target,NaN,targetNaN,bolt
2,1,coffeepot,2.43355249316,left,1,correct,path,1,path1,bolt
3,1,mosquito,0.516935960273,left,1,correct,path,2,path2,bolt
4,1,canoe,0.133636983545,right,1,correct,path,3,path3,bolt
5,1,domino,1.20024764527,left,1,correct,decision,1,decision1,bolt
6,1,ambulance,1.63352242799,left,1,correct,arm1,1,arm11,bolt
7,1,trunk,0.0169032085519,left,1,correct,arm1,2,arm12,bolt
8,1,peach,0.133644831884,left,1,correct,arm1,3,arm13,bolt
9,1,garlic,0.933708705287,right,1,correct,decision,2,decision2,bolt
10,1,mug,1.60021468225,right,1,correct,arm2,1,arm21,bolt
11,1,branch,0.416905261194,left,1,correct,arm2,2,arm22,bolt
12,1,bolt,0.0669028614138,right,1,correct,arm2,3,arm23,bolt
13,2,lion,5.01694818557,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,2.43354826713,left,1,correct,path,1,path1,lion
15,2,mosquito,0.400250784607,left,1,correct,path,2,path2,lion
16,2,canoe,0.083579373721,right,1,correct,path,3,path3,lion
17,2,goose,0.633632002869,right,1,correct,decision,1,decision1,lion
18,2,sailor,1.1003832706,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.0335975305502,left,1,correct,arm1,2,arm12,lion
20,2,tooth,0.117253878362,left,1,correct,arm1,3,arm13,lion
21,2,crutches,0.783565759872,left,1,correct,decision,2,decision2,lion
22,2,stapler,0.916911449307,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.366913456671,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.133666565745,left,1,correct,arm2,3,arm23,lion
25,3,lion,0.51702561245,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,2.03346048648,left,1,correct,path,1,path1,lion
27,3,mosquito,0.416905261194,left,1,correct,path,2,path2,lion
28,3,canoe,0.0669001446809,right,1,correct,path,3,path3,lion
29,3,goose,0.91674482304,right,1,correct,decision,1,decision1,lion
30,3,sailor,0.516976409403,left,1,correct,arm1,1,arm11,lion
31,3,cooker,0.0339301793674,left,1,correct,arm1,2,arm12,lion
32,3,tooth,0.0669590072212,left,1,correct,arm1,3,arm13,lion
33,3,crutches,0.750252882528,right,1,correct,decision,2,decision2,lion
34,3,stapler,0.517085682427,right,1,correct,arm2,1,arm21,lion
35,3,rose,0.400313873176,right,1,correct,arm2,2,arm22,lion
36,3,lion,0.116921229545,left,1,correct,arm2,3,arm23,lion
37,4,lion,0.867025899216,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,0.333592730989,left,1,correct,path,1,path1,lion
39,4,mosquito,0.450369671846,left,1,correct,path,2,path2,lion
40,4,canoe,0.133588686076,right,1,correct,path,3,path3,lion
41,4,goose,0.667041777009,right,1,correct,decision,1,decision1,lion
42,4,sailor,0.366939416561,left,1,correct,arm1,1,arm11,lion
43,4,cooker,0.100510957036,left,1,correct,arm1,2,arm12,lion
44,4,tooth,0.0835992964267,left,1,correct,arm1,3,arm13,lion
45,4,crutches,0.517023197576,right,1,correct,decision,2,decision2,lion
46,4,stapler,0.583652272713,right,1,correct,arm2,1,arm21,lion
47,4,rose,0.350329916992,right,1,correct,arm2,2,arm22,lion
48,4,lion,0.116935115067,left,1,correct,arm2,3,arm23,lion
49,5,bolt,1.13360830692,space,1,correct,target,NaN,targetNaN,bolt
50,5,coffeepot,0.23360640521,left,1,correct,path,1,path1,bolt
51,5,mosquito,0.750235676555,left,1,correct,path,2,path2,bolt
52,5,canoe,0.283598511593,right,1,correct,path,3,path3,bolt
53,5,domino,0.750302991153,left,1,correct,decision,1,decision1,bolt
54,5,ambulance,0.633589440724,left,1,correct,arm1,1,arm11,bolt
55,5,trunk,0.0336394889764,left,1,correct,arm1,2,arm12,bolt
56,5,peach,0.0667739675437,left,1,correct,arm1,3,arm13,bolt
57,5,garlic,0.50039045485,left,1,correct,decision,2,decision2,bolt
58,5,mug,0.78362884844,right,1,correct,arm2,1,arm21,bolt
59,5,branch,0.600349311444,left,1,correct,arm2,2,arm22,bolt
60,5,bolt,0.0170490065361,right,1,correct,arm2,3,arm23,bolt
61,6,bolt,0.667105469296,space,1,correct,target,NaN,targetNaN,bolt
62,6,coffeepot,0.233612744253,left,1,correct,path,1,path1,bolt
