pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,1.10030569287,space,0,wrong,target,NaN,targetNaN,beaver
2,1,trophy,2.91690993996,right,0,wrong,path,1,path1,beaver
3,1,astronaut,1.01690894389,right,0,wrong,path,2,path2,beaver
4,1,robot,0.366904099006,right,0,wrong,path,3,path3,beaver
5,1,watch,2.15000227909,left,0,wrong,decision,1,decision1,beaver
6,1,clover,4.38352416363,left,0,wrong,arm1,1,arm11,beaver
7,1,radio,0.516908189165,right,0,wrong,arm1,2,arm12,beaver
8,1,wing,0.533602209412,left,0,wrong,arm1,3,arm13,beaver
9,1,stepladder,2.16688948905,left,0,wrong,decision,2,decision2,beaver
10,1,calc,2.88353518152,right,0,wrong,arm2,1,arm21,beaver
11,1,tongue,0.683602677309,right,0,wrong,arm2,2,arm22,beaver
12,1,beaver,0.583585561835,left,0,wrong,arm2,3,arm23,beaver
13,2,arc,1.93362720334,space,-1,miss,target,NaN,targetNaN,arc
14,2,trophy,6.30028407963,right,-1,miss,path,1,path1,arc
15,2,astronaut,0.300260534743,right,-1,miss,path,2,path2,arc
16,2,robot,0.38357940386,right,-1,miss,path,3,path3,arc
17,2,watch,1.13360770326,left,-1,miss,decision,1,decision1,arc
18,2,clover,1.46700694249,left,-1,miss,arm1,1,arm11,arc
19,2,radio,0.616920776782,right,-1,miss,arm1,2,arm12,arc
20,2,wing,0.633603326161,left,-1,miss,arm1,3,arm13,arc
21,2,stepladder,1.2003306566,left,-1,miss,decision,2,decision2,arc
22,2,calc,1.36695782992,right,-1,miss,arm2,1,arm21,arc
23,2,tongue,0.88373440865,right,-1,miss,arm2,2,arm22,arc
24,2,beaver,0.5836734029,left,-1,miss,arm2,3,arm23,arc
25,3,arc,3.38352688041,space,0,wrong,target,NaN,targetNaN,arc
26,3,trophy,2.00023575197,right,0,wrong,path,1,path1,arc
27,3,astronaut,0.300256912364,right,0,wrong,path,2,path2,arc
28,3,robot,0.316924368846,right,0,wrong,path,3,path3,arc
29,3,pigeon,2.83372781298,right,0,wrong,decision,1,decision1,arc
30,3,bus,1.81691184174,left,0,wrong,arm1,1,arm11,arc
