pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,arc,6.41684179514,space,-1,miss,target,NaN,targetNaN,arc
2,1,trophy,0.916933862114,right,-1,miss,path,1,path1,arc
3,1,astronaut,0.0835690348467,right,-1,miss,path,2,path2,arc
4,1,robot,0.150252082385,right,-1,miss,path,3,path3,arc
5,1,pigeon,6.51682893594,right,-1,miss,decision,1,decision1,arc
6,1,bus,1.05025316906,right,-1,miss,arm1,1,arm11,arc
7,1,deer,0.566916686337,left,-1,miss,arm1,2,arm12,arc
8,1,fist,0.100234363257,right,-1,miss,arm1,3,arm13,arc
9,1,stepladder,4.18359270054,right,-1,miss,decision,2,decision2,arc
10,1,calc,0.683584550396,right,-1,miss,arm2,1,arm21,arc
11,1,tongue,0.516908626712,right,-1,miss,arm2,2,arm22,arc
12,1,beaver,0.250243449205,left,-1,miss,arm2,3,arm23,arc
13,2,arc,0.683682654519,space,1,correct,target,NaN,targetNaN,arc
14,2,trophy,1.25023952505,right,1,correct,path,1,path1,arc
15,2,astronaut,0.0339708995889,right,1,correct,path,2,path2,arc
16,2,robot,0.0169388125942,right,1,correct,path,3,path3,arc
17,2,watch,3.98366701821,left,1,correct,decision,1,decision1,arc
18,2,clover,12.6000780003,left,1,correct,arm1,1,arm11,arc
19,2,radio,0.417117996025,right,1,correct,arm1,2,arm12,arc
20,2,wing,0.133564718242,left,1,correct,arm1,3,arm13,arc
21,2,holly,2.10016584129,right,1,correct,decision,2,decision2,arc
22,2,match,0.850270737254,right,1,correct,arm2,1,arm21,arc
23,2,baby,0.0669115547498,right,1,correct,arm2,2,arm22,arc
24,2,arc,0.20054690796,left,1,correct,arm2,3,arm23,arc
25,3,arc,0.516747132177,space,1,correct,target,NaN,targetNaN,arc
26,3,trophy,0.500255372608,right,1,correct,path,1,path1,arc
27,3,astronaut,0.0335655030794,right,1,correct,path,2,path2,arc
28,3,robot,0.0168962504831,right,1,correct,path,3,path3,arc
29,3,watch,0.31698475554,left,1,correct,decision,1,decision1,arc
30,3,clover,0.783585576719,left,1,correct,arm1,1,arm11,arc
31,3,radio,0.61690754001,right,1,correct,arm1,2,arm12,arc
32,3,wing,0.500274389749,left,1,correct,arm1,3,arm13,arc
33,3,holly,1.03419518078,left,1,correct,decision,2,decision2,arc
34,3,match,0.717235479533,right,1,correct,arm2,1,arm21,arc
35,3,baby,0.0169862044277,right,1,correct,arm2,2,arm22,arc
36,3,arc,0.167442645296,left,1,correct,arm2,3,arm23,arc
37,4,beaver,0.400629255077,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,2.00038849242,right,1,correct,path,1,path1,beaver
39,4,astronaut,0.0336101782159,right,1,correct,path,2,path2,beaver
40,4,robot,0.0169825821358,right,1,correct,path,3,path3,beaver
41,4,pigeon,16.2168379313,left,1,correct,decision,1,decision1,beaver
42,4,bus,0.7669356431,right,1,correct,arm1,1,arm11,beaver
43,4,deer,0.100917469972,left,1,correct,arm1,2,arm12,beaver
44,4,fist,0.183644318429,right,1,correct,arm1,3,arm13,beaver
45,4,stepladder,0.766919946414,left,1,correct,decision,2,decision2,beaver
46,4,calc,0.666725428542,right,1,correct,arm2,1,arm21,beaver
47,4,tongue,0.166869415232,right,1,correct,arm2,2,arm22,beaver
48,4,beaver,0.166999214562,left,1,correct,arm2,3,arm23,beaver
49,5,beaver,13.350080868,space,1,correct,target,NaN,targetNaN,beaver
50,5,trophy,0.633586150216,right,1,correct,path,1,path1,beaver
51,5,astronaut,0.0335766718781,right,1,correct,path,2,path2,beaver
52,5,robot,0.0168914207607,right,1,correct,path,3,path3,beaver
53,5,pigeon,0.550309314829,left,1,correct,decision,1,decision1,beaver
54,5,bus,0.716956260032,right,1,correct,arm1,1,arm11,beaver
55,5,deer,0.0169155694603,left,1,correct,arm1,2,arm12,beaver
56,5,fist,0.0344212730706,right,1,correct,arm1,3,arm13,beaver
57,5,stepladder,0.800274148263,right,1,correct,decision,2,decision2,beaver
58,5,calc,0.733639096288,right,1,correct,arm2,1,arm21,beaver
59,5,tongue,0.416930843523,right,1,correct,arm2,2,arm22,beaver
60,5,beaver,0.0503500657796,left,1,correct,arm2,3,arm23,beaver
61,6,beaver,1.61701258691,space,1,correct,target,NaN,targetNaN,beaver
62,6,trophy,0.466910528397,right,1,correct,path,1,path1,beaver
63,6,astronaut,0.0337822377915,right,1,correct,path,2,path2,beaver
64,6,robot,0.0336922838178,right,1,correct,path,3,path3,beaver
65,6,pigeon,2.05024018913,left,1,correct,decision,1,decision1,beaver
66,6,bus,0.650292833307,right,1,correct,arm1,1,arm11,beaver
67,6,deer,0.000235751795117,left,1,correct,arm1,2,arm12,beaver
68,6,fist,0.0335667105101,right,1,correct,arm1,3,arm13,beaver
69,6,stepladder,0.667388008849,left,1,correct,decision,2,decision2,beaver
70,6,calc,0.517596261285,right,1,correct,arm2,1,arm21,beaver
71,6,tongue,0.0333919342083,right,1,correct,arm2,2,arm22,beaver
72,6,beaver,0.0502640359919,left,1,correct,arm2,3,arm23,beaver
73,7,beaver,0.333608125569,space,1,correct,target,NaN,targetNaN,beaver
74,7,trophy,0.400421576138,right,1,correct,path,1,path1,beaver
75,7,astronaut,0.0336602867756,right,1,correct,path,2,path2,beaver
76,7,robot,0.0169062118221,right,1,correct,path,3,path3,beaver
77,7,pigeon,1.31694973991,right,1,correct,decision,1,decision1,beaver
78,7,bus,1.46698086153,right,1,correct,arm1,1,arm11,beaver
79,7,deer,0.000882937310962,left,1,correct,arm1,2,arm12,beaver
80,7,fist,0.0669903398957,right,1,correct,arm1,3,arm13,beaver
81,7,stepladder,0.733979291283,right,1,correct,decision,2,decision2,beaver
82,7,calc,2.33356013001,right,1,correct,arm2,1,arm21,beaver
83,7,tongue,0.0341088491259,right,1,correct,arm2,2,arm22,beaver
84,7,beaver,0.116910558601,left,1,correct,arm2,3,arm23,beaver
85,8,beaver,0.283642929891,space,1,correct,target,NaN,targetNaN,beaver
86,8,trophy,0.850305451051,right,1,correct,path,1,path1,beaver
87,8,astronaut,0.0502347556758,right,1,correct,path,2,path2,beaver
88,8,robot,0.11695945973,right,1,correct,path,3,path3,beaver
89,8,pigeon,0.866954780911,left,1,correct,decision,1,decision1,beaver
90,8,bus,0.550312031555,right,1,correct,arm1,1,arm11,beaver
91,8,deer,0.0169366995979,left,1,correct,arm1,2,arm12,beaver
92,8,fist,0.0503084092634,right,1,correct,arm1,3,arm13,beaver
93,8,stepladder,0.533780728496,left,1,correct,decision,2,decision2,beaver
94,8,calc,0.500269258162,right,1,correct,arm2,1,arm21,beaver
95,8,tongue,0.0335633900831,right,1,correct,arm2,2,arm22,beaver
96,8,beaver,0.0669329867233,left,1,correct,arm2,3,arm23,beaver
97,9,beaver,0.416735238949,space,1,correct,target,NaN,targetNaN,beaver
98,9,trophy,0.483614494791,right,1,correct,path,1,path1,beaver
99,9,astronaut,0.0500515273015,right,1,correct,path,2,path2,beaver
100,9,robot,0.0169140601647,right,1,correct,path,3,path3,beaver
101,9,pigeon,1.18359994519,left,1,correct,decision,1,decision1,beaver
102,9,bus,2.15023457457,right,1,correct,arm1,1,arm11,beaver
103,9,deer,0.0338392891281,left,1,correct,arm1,2,arm12,beaver
104,9,fist,0.0502522634924,right,1,correct,arm1,3,arm13,beaver
105,9,stepladder,0.583700343443,left,1,correct,decision,2,decision2,beaver
106,9,calc,0.350262285181,right,1,correct,arm2,1,arm21,beaver
107,9,tongue,0.200922420452,right,1,correct,arm2,2,arm22,beaver
108,9,beaver,0.0504650740186,left,1,correct,arm2,3,arm23,beaver
109,10,arc,0.500343213585,space,1,correct,target,NaN,targetNaN,arc
110,10,trophy,1.96701980135,right,1,correct,path,1,path1,arc
111,10,astronaut,0.0336614942353,right,1,correct,path,2,path2,arc
112,10,robot,0.0168956467824,right,1,correct,path,3,path3,arc
113,10,watch,0.450128380617,right,1,correct,decision,1,decision1,arc
114,10,clover,2.28358376556,left,1,correct,arm1,1,arm11,arc
115,10,radio,0.166908053157,right,1,correct,arm1,2,arm12,arc
116,10,wing,0.0836414809746,left,1,correct,arm1,3,arm13,arc
117,10,holly,3.66690684573,left,1,correct,decision,2,decision2,arc
118,10,match,0.434115671116,right,1,correct,arm2,1,arm21,arc
119,10,baby,0.016913154599,right,1,correct,arm2,2,arm22,arc
120,10,arc,0.0501997400424,left,1,correct,arm2,3,arm23,arc
121,11,beaver,2.66695031343,space,1,correct,target,NaN,targetNaN,beaver
122,11,trophy,0.416874697752,right,1,correct,path,1,path1,beaver
123,11,astronaut,0.0502604136709,right,1,correct,path,2,path2,beaver
124,11,robot,0.0168838742829,right,1,correct,path,3,path3,beaver
125,11,pigeon,5.21687536183,right,1,correct,decision,1,decision1,beaver
126,11,bus,0.61691931251,right,1,correct,arm1,1,arm11,beaver
127,11,deer,0.0168893077353,left,1,correct,arm1,2,arm12,beaver
128,11,fist,0.0335585603025,right,1,correct,arm1,3,arm13,beaver
129,11,stepladder,2.61693863146,right,1,correct,decision,2,decision2,beaver
130,11,calc,0.366925198759,right,1,correct,arm2,1,arm21,beaver
131,11,tongue,0.11693470733,right,1,correct,arm2,2,arm22,beaver
132,11,beaver,0.0335688235064,left,1,correct,arm2,3,arm23,beaver
133,12,arc,0.366973496188,space,1,correct,target,NaN,targetNaN,arc
134,12,trophy,0.583629708446,right,1,correct,path,1,path1,arc
135,12,astronaut,0.0502510560618,right,1,correct,path,2,path2,arc
136,12,robot,0.0169013820996,right,1,correct,path,3,path3,arc
137,12,watch,0.400396521873,right,1,correct,decision,1,decision1,arc
138,12,clover,1.05031052226,left,1,correct,arm1,1,arm11,arc
139,12,radio,0.133385112189,right,1,correct,arm1,2,arm12,arc
140,12,wing,0.0501137102547,left,1,correct,arm1,3,arm13,arc
141,12,holly,9.51681082443,right,1,correct,decision,2,decision2,arc
142,12,match,0.500258693093,right,1,correct,arm2,1,arm21,arc
143,12,baby,0.050329237507,right,1,correct,arm2,2,arm22,arc
144,12,arc,0.0335495045583,left,1,correct,arm2,3,arm23,arc
145,13,arc,0.650492060202,space,1,correct,target,NaN,targetNaN,arc
146,13,trophy,1.96688879459,right,1,correct,path,1,path1,arc
147,13,astronaut,0.0336116875114,right,1,correct,path,2,path2,arc
148,13,robot,0.0510455486947,right,1,correct,path,3,path3,arc
149,13,watch,2.81695456963,right,1,correct,decision,1,decision1,arc
150,13,clover,0.800245471648,left,1,correct,arm1,1,arm11,arc
151,13,radio,0.017011560587,right,1,correct,arm1,2,arm12,arc
152,13,wing,0.000881126150489,left,1,correct,arm1,3,arm13,arc
153,13,holly,1.63364531455,right,1,correct,decision,2,decision2,arc
154,13,match,0.53371371582,right,1,correct,arm2,1,arm21,arc
155,13,baby,0.083676194743,right,1,correct,arm2,2,arm22,arc
156,13,arc,0.116915388353,left,1,correct,arm2,3,arm23,arc
157,14,arc,1.50042773408,space,1,correct,target,NaN,targetNaN,arc
158,14,trophy,0.583728416328,right,1,correct,path,1,path1,arc
159,14,astronaut,0.0169303605508,right,1,correct,path,2,path2,arc
160,14,robot,0.0336367417767,right,1,correct,path,3,path3,arc
161,14,watch,0.467077758251,left,1,correct,decision,1,decision1,arc
162,14,clover,1.11672672653,left,1,correct,arm1,1,arm11,arc
163,14,radio,0.00035891024163,right,1,correct,arm1,2,arm12,arc
164,14,wing,1.41722515595,left,1,correct,arm1,3,arm13,arc
165,14,holly,1.00029884031,right,1,correct,decision,2,decision2,arc
166,14,match,0.700441861089,right,1,correct,arm2,1,arm21,arc
167,14,baby,0.000263522844762,right,1,correct,arm2,2,arm22,arc
168,14,arc,0.0672200545378,left,1,correct,arm2,3,arm23,arc
169,15,beaver,5.35022394912,space,1,correct,target,NaN,targetNaN,beaver
