pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,bolt,2.61692806642,space,1,correct,target,NaN,targetNaN,bolt
2,1,coffeepot,1.98356740479,left,1,correct,path,1,path1,bolt
3,1,mosquito,0.0668750298209,left,1,correct,path,2,path2,bolt
4,1,canoe,0.183572777896,right,1,correct,path,3,path3,bolt
5,1,domino,3.46689060572,left,1,correct,decision,1,decision1,bolt
6,1,ambulance,0.71671477292,right,1,correct,arm1,1,arm11,bolt
7,1,trunk,0.0835654125258,left,1,correct,arm1,2,arm12,bolt
8,1,peach,0.033589651779,left,1,correct,arm1,3,arm13,bolt
9,1,garlic,2.40029811586,left,1,correct,decision,2,decision2,bolt
10,1,mug,0.500265032111,right,1,correct,arm2,1,arm21,bolt
11,1,branch,0.000228809076361,left,1,correct,arm2,2,arm22,bolt
12,1,bolt,0.0502160404285,right,1,correct,arm2,3,arm23,bolt
13,2,bolt,1.31698203878,space,1,correct,target,NaN,targetNaN,bolt
14,2,coffeepot,0.716916716541,left,1,correct,path,1,path1,bolt
15,2,mosquito,0.0335697291011,left,1,correct,path,2,path2,bolt
16,2,canoe,0.133616034262,right,1,correct,path,3,path3,bolt
17,2,domino,0.683610510256,left,1,correct,decision,1,decision1,bolt
18,2,ambulance,1.15025268611,right,1,correct,arm1,1,arm11,bolt
19,2,trunk,0.116795550362,left,1,correct,arm1,2,arm12,bolt
20,2,peach,0.0168868928449,left,1,correct,arm1,3,arm13,bolt
21,2,garlic,0.766906362755,left,1,correct,decision,2,decision2,bolt
22,2,mug,0.550302372052,right,1,correct,arm2,1,arm21,bolt
23,2,branch,0.0335944815597,left,1,correct,arm2,2,arm22,bolt
24,2,bolt,0.0336956042447,right,1,correct,arm2,3,arm23,bolt
25,3,lion,0.583805994072,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,1.5669169882,left,1,correct,path,1,path1,lion
27,3,mosquito,0.583624275023,left,1,correct,path,2,path2,lion
28,3,canoe,0.166904129001,right,1,correct,path,3,path3,lion
29,3,goose,1.16690926059,right,1,correct,decision,1,decision1,lion
30,3,sailor,0.750402830687,right,1,correct,arm1,1,arm11,lion
31,3,cooker,0.0169333791418,right,1,correct,arm1,2,arm12,lion
32,3,tooth,0.0835865426634,left,1,correct,arm1,3,arm13,lion
33,3,crutches,0.833619294339,left,1,correct,decision,2,decision2,lion
34,3,stapler,0.733608004812,right,1,correct,arm2,1,arm21,lion
35,3,rose,0.0177085527976,right,1,correct,arm2,2,arm22,lion
36,3,lion,0.200309043168,left,1,correct,arm2,3,arm23,lion
37,4,bolt,0.350281604187,space,1,correct,target,NaN,targetNaN,bolt
38,4,coffeepot,0.83359635307,left,1,correct,path,1,path1,bolt
39,4,mosquito,0.0502368686721,left,1,correct,path,2,path2,bolt
40,4,canoe,0.150239706156,right,1,correct,path,3,path3,bolt
41,4,domino,2.25026186259,left,1,correct,decision,1,decision1,bolt
42,4,ambulance,1.60029081086,right,1,correct,arm1,1,arm11,bolt
43,4,trunk,0.116896069376,left,1,correct,arm1,2,arm12,bolt
44,4,peach,0.0168865910091,left,1,correct,arm1,3,arm13,bolt
45,4,garlic,0.683356948779,left,1,correct,decision,2,decision2,bolt
46,4,mug,1.08356541253,right,1,correct,arm2,1,arm21,bolt
47,4,branch,0.28354844806,left,1,correct,arm2,2,arm22,bolt
48,4,bolt,1.03337352083,right,1,correct,arm2,3,arm23,bolt
49,5,bolt,0.384710423736,space,1,correct,target,NaN,targetNaN,bolt
50,5,coffeepot,0.666921636817,left,1,correct,path,1,path1,bolt
51,5,mosquito,0.0169004765048,left,1,correct,path,2,path2,bolt
52,5,canoe,0.100345145474,right,1,correct,path,3,path3,bolt
53,5,domino,0.633576188906,left,1,correct,decision,1,decision1,bolt
54,5,ambulance,0.433586210595,right,1,correct,arm1,1,arm11,bolt
55,5,trunk,0.0836417828104,left,1,correct,arm1,2,arm12,bolt
56,5,peach,0.0169403218897,left,1,correct,arm1,3,arm13,bolt
57,5,garlic,0.900359695079,left,1,correct,decision,2,decision2,bolt
58,5,mug,0.400278495043,right,1,correct,arm2,1,arm21,bolt
59,5,branch,0.116935914761,left,1,correct,arm2,2,arm22,bolt
60,5,bolt,0.100323713501,right,1,correct,arm2,3,arm23,bolt
61,6,lion,0.500294010562,space,1,correct,target,NaN,targetNaN,lion
62,6,coffeepot,6.03347615286,left,1,correct,path,1,path1,lion
63,6,mosquito,0.0335621826234,left,1,correct,path,2,path2,lion
64,6,canoe,0.116986928915,right,1,correct,path,3,path3,lion
65,6,goose,0.750291746634,right,1,correct,decision,1,decision1,lion
66,6,sailor,0.616940744483,right,1,correct,arm1,1,arm11,lion
67,6,cooker,0.000261107954429,right,1,correct,arm1,2,arm12,lion
68,6,tooth,0.0676876339712,left,1,correct,arm1,3,arm13,lion
69,6,crutches,1.31692649674,right,1,correct,decision,2,decision2,lion
70,6,stapler,0.416998158064,right,1,correct,arm2,1,arm21,lion
71,6,rose,0.216976484604,right,1,correct,arm2,2,arm22,lion
72,6,lion,0.183678126661,left,1,correct,arm2,3,arm23,lion
73,7,lion,0.76766855648,space,1,correct,target,NaN,targetNaN,lion
74,7,coffeepot,0.666945483681,left,1,correct,path,1,path1,lion
75,7,mosquito,0.0335522212845,left,1,correct,path,2,path2,lion
76,7,canoe,0.100812423043,right,1,correct,path,3,path3,lion
77,7,goose,0.900273363426,left,1,correct,decision,1,decision1,lion
78,7,sailor,1.36691191696,right,1,correct,arm1,1,arm11,lion
79,7,cooker,0.00034049685928,right,1,correct,arm1,2,arm12,lion
80,7,tooth,0.116913577192,left,1,correct,arm1,3,arm13,lion
