pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,0.916886293839,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,1.30026524303,right,1,correct,path,1,path1,lion
3,1,mosquito,0.114061140222,left,1,correct,path,2,path2,lion
4,1,canoe,1.61690992936,right,1,correct,path,3,path3,lion
5,1,goose,2.46689714566,right,1,correct,decision,1,decision1,lion
6,1,sailor,0.866945925984,left,1,correct,arm1,1,arm11,lion
7,1,cooker,0.550237245639,right,1,correct,arm1,2,arm12,lion
8,1,tooth,0.433569557703,left,1,correct,arm1,3,arm13,lion
9,1,crutches,1.61695068025,right,1,correct,decision,2,decision2,lion
10,1,stapler,0.633549574661,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.266913808242,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.316921188671,left,1,correct,arm2,3,arm23,lion
13,2,lion,4.26687064249,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,1.25021530053,right,1,correct,path,1,path1,lion
15,2,mosquito,0.114086194473,left,1,correct,path,2,path2,lion
16,2,canoe,0.46691737017,right,1,correct,path,3,path3,lion
17,2,goose,0.816911378279,left,1,correct,decision,1,decision1,lion
18,2,sailor,0.633580967959,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.616921701847,right,1,correct,arm1,2,arm12,lion
20,2,tooth,0.600261228305,left,1,correct,arm1,3,arm13,lion
21,2,crutches,1.4503036847,left,1,correct,decision,2,decision2,lion
22,2,stapler,0.600356011855,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.650287323966,right,1,correct,arm2,2,arm22,lion
24,2,lion,1.61689544015,left,1,correct,arm2,3,arm23,lion
25,3,lion,4.85037600998,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,2.16693285551,right,1,correct,path,1,path1,lion
27,3,mosquito,0.113965451092,left,1,correct,path,2,path2,lion
28,3,canoe,1.41690033027,right,1,correct,path,3,path3,lion
29,3,goose,2.01765932316,left,1,correct,decision,1,decision1,lion
30,3,sailor,0.833571248106,left,1,correct,arm1,1,arm11,lion
31,3,cooker,0.600335485477,right,1,correct,arm1,2,arm12,lion
32,3,tooth,0.867046746702,left,1,correct,arm1,3,arm13,lion
33,3,crutches,2.23368764472,left,1,correct,decision,2,decision2,lion
34,3,stapler,0.800262677236,right,1,correct,arm2,1,arm21,lion
35,3,rose,0.966948008805,right,1,correct,arm2,2,arm22,lion
36,3,lion,3.61689725131,left,1,correct,arm2,3,arm23,lion
37,4,bolt,0.816942771562,space,1,correct,target,NaN,targetNaN,bolt
38,4,coffeepot,1.13359590995,right,1,correct,path,1,path1,bolt
39,4,mosquito,0.113243707528,left,1,correct,path,2,path2,bolt
40,4,canoe,0.416903348843,right,1,correct,path,3,path3,bolt
41,4,domino,0.517083528161,right,1,correct,decision,1,decision1,bolt
