pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,arc,5.55024524569,space,1,correct,target,NaN,targetNaN,arc
2,1,trophy,9.1501264337,left,1,correct,path,1,path1,arc
3,1,astronaut,2.63355571311,right,1,correct,path,2,path2,arc
4,1,robot,1.033408285,right,1,correct,path,3,path3,arc
5,1,watch,5.6002038758,right,1,correct,decision,1,decision1,arc
6,1,clover,1.35023836326,left,1,correct,arm1,1,arm11,arc
7,1,radio,0.816938596661,right,1,correct,arm1,2,arm12,arc
8,1,wing,2.46690881823,left,1,correct,arm1,3,arm13,arc
9,1,holly,3.08338231011,right,1,correct,decision,2,decision2,arc
10,1,match,3.85020591342,right,1,correct,arm2,1,arm21,arc
11,1,baby,1.01693491405,left,1,correct,arm2,2,arm22,arc
12,1,arc,1.03364886693,left,1,correct,arm2,3,arm23,arc
13,2,arc,2.40102469176,space,1,correct,target,NaN,targetNaN,arc
14,2,trophy,1.06721925037,left,1,correct,path,1,path1,arc
15,2,astronaut,2.11693428014,right,1,correct,path,2,path2,arc
16,2,robot,0.433577507385,right,1,correct,path,3,path3,arc
17,2,watch,3.08360025252,left,1,correct,decision,1,decision1,arc
18,2,clover,1.53359770181,left,1,correct,arm1,1,arm11,arc
19,2,radio,1.28357694892,right,1,correct,arm1,2,arm12,arc
20,2,wing,0.916917738155,left,1,correct,arm1,3,arm13,arc
21,2,holly,1.6336357058,left,1,correct,decision,2,decision2,arc
22,2,match,1.60027843504,right,1,correct,arm2,1,arm21,arc
23,2,baby,1.7170669171,left,1,correct,arm2,2,arm22,arc
24,2,arc,0.616948316572,left,1,correct,arm2,3,arm23,arc
25,3,beaver,1.73363386455,space,-1,miss,target,NaN,targetNaN,beaver
26,3,trophy,0.966934627271,left,-1,miss,path,1,path1,beaver
27,3,astronaut,0.483600131702,right,-1,miss,path,2,path2,beaver
28,3,robot,0.616918432526,right,-1,miss,path,3,path3,beaver
29,3,watch,0.716918402235,left,-1,miss,decision,1,decision1,beaver
30,3,clover,3.96688814089,left,-1,miss,arm1,1,arm11,beaver
31,3,radio,0.817028248915,right,-1,miss,arm1,2,arm12,beaver
32,3,wing,1.11702272482,left,-1,miss,arm1,3,arm13,beaver
33,3,holly,0.683681271505,left,-1,miss,decision,2,decision2,beaver
34,3,match,1.53360766312,right,-1,miss,arm2,1,arm21,beaver
35,3,baby,0.483654768323,left,-1,miss,arm2,2,arm22,beaver
36,3,arc,0.516906992067,left,-1,miss,arm2,3,arm23,beaver
37,4,arc,4.83364771982,space,1,correct,target,NaN,targetNaN,arc
38,4,trophy,0.783689089702,left,1,correct,path,1,path1,arc
39,4,astronaut,0.366889227531,right,1,correct,path,2,path2,arc
40,4,robot,0.533590155188,right,1,correct,path,3,path3,arc
41,4,watch,3.43364391639,right,1,correct,decision,1,decision1,arc
42,4,clover,2.98354534421,left,1,correct,arm1,1,arm11,arc
43,4,radio,2.20023146574,right,1,correct,arm1,2,arm12,arc
44,4,wing,1.81690509035,left,1,correct,arm1,3,arm13,arc
45,4,holly,3.2002242211,right,1,correct,decision,2,decision2,arc
46,4,match,2.61700265121,right,1,correct,arm2,1,arm21,arc
47,4,baby,0.43362097512,left,1,correct,arm2,2,arm22,arc
48,4,arc,0.316835813574,left,1,correct,arm2,3,arm23,arc
49,5,beaver,0.733610017574,space,1,correct,target,NaN,targetNaN,beaver
50,5,trophy,1.61719674687,left,1,correct,path,1,path1,beaver
51,5,astronaut,0.200280970777,right,1,correct,path,2,path2,beaver
52,5,robot,0.250282464898,right,1,correct,path,3,path3,beaver
53,5,pigeon,0.916851932881,left,1,correct,decision,1,decision1,beaver
54,5,bus,2.30046688591,right,1,correct,arm1,1,arm11,beaver
55,5,deer,0.816918070195,left,1,correct,arm1,2,arm12,beaver
56,5,fist,0.833590970258,left,1,correct,arm1,3,arm13,beaver
57,5,stepladder,2.11707977625,left,1,correct,decision,2,decision2,beaver
58,5,calc,1.55029414687,right,1,correct,arm2,1,arm21,beaver
59,5,tongue,0.883577069733,right,1,correct,arm2,2,arm22,beaver
60,5,beaver,0.784091468202,left,1,correct,arm2,3,arm23,beaver
61,6,arc,0.733640203602,space,1,correct,target,NaN,targetNaN,arc
62,6,trophy,1.83358070708,left,1,correct,path,1,path1,arc
63,6,astronaut,0.566942596342,right,1,correct,path,2,path2,arc
64,6,robot,0.283575137844,right,1,correct,path,3,path3,arc
65,6,watch,0.800711542834,right,1,correct,decision,1,decision1,arc
66,6,clover,1.23360473511,left,1,correct,arm1,1,arm11,arc
67,6,radio,0.283673845814,right,1,correct,arm1,2,arm12,arc
68,6,wing,0.41703863279,left,1,correct,arm1,3,arm13,arc
69,6,holly,0.617052759859,left,1,correct,decision,2,decision2,arc
70,6,match,0.90037131717,right,1,correct,arm2,1,arm21,arc
71,6,baby,0.466890706797,left,1,correct,arm2,2,arm22,arc
72,6,arc,0.200274631614,left,1,correct,arm2,3,arm23,arc
73,7,beaver,1.08361534541,space,1,correct,target,NaN,targetNaN,beaver
74,7,trophy,1.90024815861,left,1,correct,path,1,path1,beaver
75,7,astronaut,0.28369135363,right,1,correct,path,2,path2,beaver
76,7,robot,0.166911625536,right,1,correct,path,3,path3,beaver
77,7,pigeon,0.933679384878,right,1,correct,decision,1,decision1,beaver
78,7,bus,0.667040368542,right,1,correct,arm1,1,arm11,beaver
79,7,deer,0.633791465312,left,1,correct,arm1,2,arm12,beaver
80,7,fist,1.15031388844,left,1,correct,arm1,3,arm13,beaver
81,7,stepladder,1.6669027207,left,1,correct,decision,2,decision2,beaver
82,7,calc,0.983621111023,right,1,correct,arm2,1,arm21,beaver
83,7,tongue,0.750288653071,right,1,correct,arm2,2,arm22,beaver
84,7,beaver,0.800760444137,left,1,correct,arm2,3,arm23,beaver
85,8,beaver,1.18366059416,space,1,correct,target,NaN,targetNaN,beaver
86,8,trophy,0.933942908072,left,1,correct,path,1,path1,beaver
87,8,astronaut,0.200238106656,right,1,correct,path,2,path2,beaver
88,8,robot,0.200255312608,right,1,correct,path,3,path3,beaver
89,8,pigeon,0.90028317424,left,1,correct,decision,1,decision1,beaver
90,8,bus,0.600277831312,right,1,correct,arm1,1,arm11,beaver
91,8,deer,0.600332467933,left,1,correct,arm1,2,arm12,beaver
92,8,fist,0.550247056759,left,1,correct,arm1,3,arm13,beaver
93,8,stepladder,0.650304983603,right,1,correct,decision,2,decision2,beaver
94,8,calc,0.700317948475,right,1,correct,arm2,1,arm21,beaver
95,8,tongue,0.800230077235,right,1,correct,arm2,2,arm22,beaver
96,8,beaver,0.767108256696,left,1,correct,arm2,3,arm23,beaver
97,9,arc,2.01698532444,space,1,correct,target,NaN,targetNaN,arc
98,9,trophy,0.700504195644,left,1,correct,path,1,path1,arc
99,9,astronaut,0.500403736951,right,1,correct,path,2,path2,arc
100,9,robot,0.483587755472,right,1,correct,path,3,path3,arc
101,9,watch,1.06709669554,right,1,correct,decision,1,decision1,arc
102,9,clover,1.45006355655,left,1,correct,arm1,1,arm11,arc
103,9,radio,0.916967545054,right,1,correct,arm1,2,arm12,arc
104,9,wing,0.433625201113,left,1,correct,arm1,3,arm13,arc
105,9,holly,1.63363630953,right,1,correct,decision,2,decision2,arc
106,9,match,0.800279582152,right,1,correct,arm2,1,arm21,arc
107,9,baby,0.450282404548,left,1,correct,arm2,2,arm22,arc
108,9,arc,0.283585702884,left,1,correct,arm2,3,arm23,arc
109,10,arc,1.15037727903,space,1,correct,target,NaN,targetNaN,arc
110,10,trophy,0.666923247161,left,1,correct,path,1,path1,arc
111,10,astronaut,0.150224538171,right,1,correct,path,2,path2,arc
