pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,1.78355862111,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,1.20024088384,left,1,correct,path,1,path1,lion
3,1,mosquito,0.500253260082,left,1,correct,path,2,path2,lion
4,1,canoe,0.114405940594,right,1,correct,path,3,path3,lion
5,1,goose,1.23357522338,left,1,correct,decision,1,decision1,lion
6,1,sailor,0.750426829268,right,1,correct,arm1,1,arm11,lion
7,1,cooker,0.216936428399,right,1,correct,arm1,2,arm12,lion
8,1,tooth,0.316990763101,right,1,correct,arm1,3,arm13,lion
9,1,crutches,1.41693401352,right,1,correct,decision,2,decision2,lion
10,1,stapler,0.733646462208,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.366979292442,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.350240883844,left,1,correct,arm2,3,arm23,lion
13,2,lion,0.250301859454,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,0.683626237624,left,1,correct,path,1,path1,lion
15,2,mosquito,0.217148031877,left,1,correct,path,2,path2,lion
16,2,canoe,0.733592731224,right,1,correct,path,3,path3,lion
17,2,goose,0.633700796909,right,1,correct,decision,1,decision1,lion
18,2,sailor,0.550521613137,right,1,correct,arm1,1,arm11,lion
19,2,cooker,0.166964501328,right,1,correct,arm1,2,arm12,lion
20,2,tooth,0.167022760204,right,1,correct,arm1,3,arm13,lion
21,2,crutches,1.03354986718,left,1,correct,decision,2,decision2,lion
22,2,stapler,1.93360722048,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.283593636803,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.9835839773,left,1,correct,arm2,3,arm23,lion
25,3,bolt,0.73356254528,space,1,correct,target,NaN,targetNaN,bolt
26,3,coffeepot,0.983588203333,left,1,correct,path,1,path1,bolt
27,3,mosquito,0.150257486114,left,1,correct,path,2,path2,bolt
28,3,canoe,0.533570695485,right,1,correct,path,3,path3,bolt
29,3,domino,0.467308319247,right,1,correct,decision,1,decision1,bolt
30,3,ambulance,1.30033687515,right,1,correct,arm1,1,arm11,bolt
31,3,trunk,1.58362442647,left,1,correct,arm1,2,arm12,bolt
32,3,peach,0.383570393625,left,1,correct,arm1,3,arm13,bolt
33,3,garlic,2.31695121951,left,1,correct,decision,2,decision2,bolt
34,3,mug,0.616927372615,right,1,correct,arm2,1,arm21,bolt
35,3,branch,0.466932806085,left,1,correct,arm2,2,arm22,bolt
36,3,bolt,0.283593334943,right,1,correct,arm2,3,arm23,bolt
37,4,lion,0.666917109394,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,0.600262617726,left,1,correct,path,1,path1,lion
39,4,mosquito,0.284056085487,left,1,correct,path,2,path2,lion
40,4,canoe,0.316942163729,right,1,correct,path,3,path3,lion
41,4,goose,0.433818522096,right,1,correct,decision,1,decision1,lion
42,4,sailor,0.500270164212,right,1,correct,arm1,1,arm11,lion
43,4,cooker,0.100467882154,right,1,correct,arm1,2,arm12,lion
44,4,tooth,0.166779763342,right,1,correct,arm1,3,arm13,lion
45,4,crutches,1.70052010384,left,1,correct,decision,2,decision2,lion
46,4,stapler,0.667014609998,right,1,correct,arm2,1,arm21,lion
