pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,1.73356572472,space,1,correct,target,NaN,targetNaN,beaver
2,1,trophy,1.11691643509,right,1,correct,path,1,path1,beaver
3,1,astronaut,0.0503395614951,right,1,correct,path,2,path2,beaver
4,1,robot,0.383557483967,right,1,correct,path,3,path3,beaver
5,1,pigeon,1.43361027915,left,1,correct,decision,1,decision1,beaver
6,1,bus,0.716928750948,right,1,correct,arm1,1,arm11,beaver
7,1,deer,0.433417692938,left,1,correct,arm1,2,arm12,beaver
8,1,fist,1.16690101008,right,1,correct,arm1,3,arm13,beaver
9,1,stepladder,0.75028631352,right,1,correct,decision,2,decision2,beaver
10,1,calc,0.866677513477,right,1,correct,arm2,1,arm21,beaver
11,1,tongue,0.500301255553,right,1,correct,arm2,2,arm22,beaver
12,1,beaver,0.233586251155,left,1,correct,arm2,3,arm23,beaver
13,2,beaver,4.90025664075,space,1,correct,target,NaN,targetNaN,beaver
14,2,trophy,1.05021217688,right,1,correct,path,1,path1,beaver
15,2,astronaut,0.0336023704403,right,1,correct,path,2,path2,beaver
16,2,robot,0.0168998932022,right,1,correct,path,3,path3,beaver
17,2,pigeon,0.517051124697,right,1,correct,decision,1,decision1,beaver
18,2,bus,1.61716033738,right,1,correct,arm1,1,arm11,beaver
19,2,deer,1.95023789529,left,1,correct,arm1,2,arm12,beaver
20,2,fist,4.58353472378,right,1,correct,arm1,3,arm13,beaver
21,2,stepladder,1.73358655301,left,1,correct,decision,2,decision2,beaver
22,2,calc,1.03359754069,right,1,correct,arm2,1,arm21,beaver
23,2,tongue,0.400887828491,right,1,correct,arm2,2,arm22,beaver
24,2,beaver,0.266931437496,left,1,correct,arm2,3,arm23,beaver
25,3,arc,0.767010222766,space,1,correct,target,NaN,targetNaN,arc
26,3,trophy,0.800248550924,right,1,correct,path,1,path1,arc
27,3,astronaut,0.400540690328,right,1,correct,path,2,path2,arc
28,3,robot,0.0835854361349,right,1,correct,path,3,path3,arc
29,3,watch,0.583682332962,right,1,correct,decision,1,decision1,arc
30,3,clover,0.633577859468,left,1,correct,arm1,1,arm11,arc
31,3,radio,0.0836639195459,right,1,correct,arm1,2,arm12,arc
32,3,wing,0.200299021795,left,1,correct,arm1,3,arm13,arc
33,3,holly,0.450444065174,left,1,correct,decision,2,decision2,arc
34,3,match,0.10026859438,right,1,correct,arm2,1,arm21,arc
35,3,baby,0.0502502111503,left,1,correct,arm2,2,arm22,arc
36,3,arc,0.400277167184,left,1,correct,arm2,3,arm23,arc
37,4,beaver,0.150237774549,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,0.500314839221,right,1,correct,path,1,path1,beaver
39,4,astronaut,0.100879557546,right,1,correct,path,2,path2,beaver
40,4,robot,0.0337022858594,right,1,correct,path,3,path3,beaver
41,4,pigeon,0.350924685507,left,1,correct,decision,1,decision1,beaver
42,4,bus,0.583524460562,right,1,correct,arm1,1,arm11,beaver
43,4,deer,0.100318703019,left,1,correct,arm1,2,arm12,beaver
44,4,fist,0.483418870189,right,1,correct,arm1,3,arm13,beaver
45,4,stepladder,0.467029421016,left,1,correct,decision,2,decision2,beaver
46,4,calc,0.116994314782,right,1,correct,arm2,1,arm21,beaver
47,4,tongue,0.31693140731,right,1,correct,arm2,2,arm22,beaver
48,4,beaver,0.133401875512,left,1,correct,arm2,3,arm23,beaver
49,5,beaver,0.283885363508,space,1,correct,target,NaN,targetNaN,beaver
50,5,trophy,0.433428258013,right,1,correct,path,1,path1,beaver
51,5,astronaut,0.050261681803,right,1,correct,path,2,path2,beaver
52,5,robot,0.0669415195953,right,1,correct,path,3,path3,beaver
53,5,pigeon,0.316921747813,left,1,correct,decision,1,decision1,beaver
54,5,bus,0.134286625038,right,1,correct,arm1,1,arm11,beaver
55,5,deer,0.0835603818159,left,1,correct,arm1,2,arm12,beaver
56,5,fist,0.0669563107003,right,1,correct,arm1,3,arm13,beaver
57,5,stepladder,0.716970105668,right,1,correct,decision,2,decision2,beaver
58,5,calc,0.250263674075,right,1,correct,arm2,1,arm21,beaver
59,5,tongue,0.600206713229,right,1,correct,arm2,2,arm22,beaver
60,5,beaver,0.317031926447,left,1,correct,arm2,3,arm23,beaver
61,6,arc,0.267571681012,space,1,correct,target,NaN,targetNaN,arc
62,6,trophy,0.666965607966,right,1,correct,path,1,path1,arc
63,6,astronaut,0.0336500642052,right,1,correct,path,2,path2,arc
64,6,robot,0.0336144448111,right,1,correct,path,3,path3,arc
65,6,watch,0.366946771947,left,1,correct,decision,1,decision1,arc
66,6,clover,0.284214993832,left,1,correct,arm1,1,arm11,arc
67,6,radio,0.0669173708538,right,1,correct,arm1,2,arm12,arc
68,6,wing,0.30043691111,left,1,correct,arm1,3,arm13,arc
69,6,holly,0.567033888533,right,1,correct,decision,2,decision2,arc
70,6,match,0.283601012075,right,1,correct,arm2,1,arm21,arc
71,6,baby,0.0502858305454,left,1,correct,arm2,2,arm22,arc
72,6,arc,0.283536414189,left,1,correct,arm2,3,arm23,arc
73,7,arc,0.350306779578,space,1,correct,target,NaN,targetNaN,arc
74,7,trophy,0.850322476261,right,1,correct,path,1,path1,arc
75,7,astronaut,0.0169816970647,right,1,correct,path,2,path2,arc
76,7,robot,0.0335555822539,right,1,correct,path,3,path3,arc
77,7,watch,0.666993680878,right,1,correct,decision,1,decision1,arc
78,7,clover,0.150310522634,left,1,correct,arm1,1,arm11,arc
79,7,radio,0.0336564032505,right,1,correct,arm1,2,arm12,arc
80,7,wing,0.000237261388065,left,1,correct,arm1,3,arm13,arc
81,7,holly,0.833662863039,left,1,correct,decision,2,decision2,arc
82,7,match,0.133580274342,right,1,correct,arm2,1,arm21,arc
83,7,baby,0.0502622855211,left,1,correct,arm2,2,arm22,arc
84,7,arc,0.433617523776,left,1,correct,arm2,3,arm23,arc
85,8,beaver,0.600318703019,space,-1,miss,target,NaN,targetNaN,beaver
86,8,trophy,0.283641461217,right,-1,miss,path,1,path1,beaver
87,8,astronaut,0.0338151812275,right,-1,miss,path,2,path2,beaver
88,8,robot,0.0169210233507,right,-1,miss,path,3,path3,beaver
89,8,watch,0.167032318865,left,-1,miss,decision,1,decision1,beaver
90,8,clover,0.683566962348,left,-1,miss,arm1,1,arm11,beaver
91,8,radio,0.0502622855211,right,-1,miss,arm1,2,arm12,beaver
92,8,wing,0.150504014427,left,-1,miss,arm1,3,arm13,beaver
93,8,holly,0.26696705689,right,-1,miss,decision,2,decision2,beaver
94,8,match,0.266984262868,right,-1,miss,arm2,1,arm21,beaver
95,8,baby,0.000234544654631,left,-1,miss,arm2,2,arm22,beaver
96,8,arc,0.86691688788,left,-1,miss,arm2,3,arm23,beaver
97,9,beaver,0.300325525039,space,1,correct,target,NaN,targetNaN,beaver
98,9,trophy,0.466999536948,right,1,correct,path,1,path1,beaver
99,9,astronaut,0.0175268549101,right,1,correct,path,2,path2,beaver
100,9,robot,0.000421093684963,right,1,correct,path,3,path3,beaver
101,9,pigeon,0.283601917651,left,1,correct,decision,1,decision1,beaver
102,9,bus,0.0839600434911,right,1,correct,arm1,1,arm11,beaver
103,9,deer,0.0503754827478,left,1,correct,arm1,2,arm12,beaver
104,9,fist,0.0169258530996,right,1,correct,arm1,3,arm13,beaver
105,9,stepladder,0.616928811321,left,1,correct,decision,2,decision2,beaver
106,9,calc,0.0836829366799,right,1,correct,arm2,1,arm21,beaver
107,9,tongue,0.183571490236,right,1,correct,arm2,2,arm22,beaver
108,9,beaver,0.2669380784,left,1,correct,arm2,3,arm23,beaver
