subj,beaver_1,beaver_2,lion_1,lion_2,oldnew,order
1,2018_Oct_16_1506,2018_Oct_16_1531,2018_Oct_16_1442,2018_Oct_16_1522,2018_Oct_16_1543,2018_Oct_16_1546
2,2018_Oct_25_1451,2018_Oct_25_1521,2018_Oct_25_1508,2018_Oct_25_1527,2018_Oct_25_1541,2018_Oct_25_1547
3,2018_Oct_26_1455,2018_Oct_26_1508,2018_Oct_26_1443,2018_Oct_26_1504,2018_Oct_26_1511,2018_Oct_26_1513
4,2018_Nov_01_1451,2018_Nov_01_1536,2018_Nov_01_1521,2018_Nov_01_1542,2018_Nov_01_1555,2018_Nov_01_1558
5,2018_Nov_06_0907,2018_Nov_06_0929,2018_Nov_06_0854,2018_Nov_06_0922,2018_Nov_06_0949,2018_Nov_06_0951
6,2018_Nov_06_1429,2018_Nov_06_1501,2018_Nov_06_1449,2018_Nov_06_1507,2018_Nov_06_1516,2018_Nov_06_1519
7,2018_Nov_07_0813,2018_Nov_07_0844,2018_Nov_07_0831,2018_Nov_07_0850,2018_Nov_07_0859,2018_Nov_07_0902
8,2018_Nov_09_1453,2018_Nov_09_1509,2018_Nov_09_1438,2018_Nov_09_1504,2018_Nov_09_1516,2018_Nov_09_1518
9,2018_Nov_30_0933,2018_Nov_30_0953,2018_Nov_30_0911,2018_Nov_30_0945,2018_Nov_30_1002,2018_Nov_30_1005
10,2018_Dec_11_1407,2018_Dec_11_1453,2018_Dec_11_1436,2018_Dec_11_1459,2018_Dec_11_1507,2018_Dec_11_1511
11,2019_Jan_15_1641,2019_Jan_15_1653,2019_Jan_15_1627,2019_Jan_15_1648,2019_Jan_15_1705,2019_Jan_15_1701
12,2019_Jan_31_1607,2019_Jan_31_1623,2019_Jan_31_1559,2019_Jan_31_1618,2019_Jan_31_1630,2019_Jan_31_1634
13,2019_Feb_19_1547,2019_Feb_19_1611,2019_Feb_19_1600,2019_Feb_19_1615,2019_Feb_19_1624,2019_Feb_19_1627
14,2019_Feb_22_1013,2019_Feb_22_1029,2019_Feb_22_0956,2019_Feb_22_1024,2019_Feb_22_1039,2019_Feb_22_1042
15,2019_Feb_26_1540,2019_Feb_26_1618,2019_Feb_26_1600,2019_Feb_26_1625,2019_Feb_26_1634,2019_Feb_26_1637
16,2019_Mar_05_1613,2019_Mar_05_1630,2019_Mar_05_1554,2019_Mar_05_1625,2019_Mar_05_1642,2019_Mar_05_1645
17,2019_Mar_06_1152,2019_Mar_06_1218,2019_Mar_06_1206,2019_Mar_06_1223,2019_Mar_06_1234,2019_Mar_06_1236
18,2019_Mar_07_1543,2019_Mar_07_1613,2019_Mar_07_1601,2019_Mar_07_1618,2019_Mar_07_1629,2019_Mar_07_1632
19,2019_Mar_12_1543,2019_Mar_12_1624,2019_Mar_12_1607,2019_Mar_12_1631,2019_Mar_12_1640,2019_Mar_12_1642
20,2019_Mar_14_1601,2019_Mar_14_1616,2019_Mar_14_1545,2019_Mar_14_1612,2019_Mar_14_1621,2019_Mar_14_1623
21,2019_Apr_30_1641,2019_Apr_30_1720,2019_Apr_30_1701,2019_Apr_30_1726,2019_Apr_30_1734,2019_Apr_30_1737
22,2019_May_09_1339,2019_May_09_1359,2019_May_09_1315,2019_May_09_1353,2019_May_09_1413,2019_May_09_1417
23,2019_May_10_0906,2019_May_10_0937,2019_May_10_0922,2019_May_10_0944,2019_May_10_0954,2019_May_10_0958
24,2019_May_14_1436,2019_May_14_1505,2019_May_14_1451,2019_May_14_1509,2019_May_14_1516,2019_May_14_1519
25,2019_May_30_1534,2019_May_30_1557,2019_May_30_1547,2019_May_30_1601,2019_May_30_1611,2019_May_30_1614
26,2019_May_31_1539,2019_May_31_1609,2019_May_31_1553,2019_May_31_1614,2019_May_31_1621,2019_May_31_1624
27,2019_Jun_10_1536,2019_Jun_10_1606,2019_Jun_10_1553,2019_Jun_10_1610,2019_Jun_10_1618,2019_Jun_10_1621
28,2019_Jun_12_1333,2019_Jun_12_1407,2019_Jun_12_1354,2019_Jun_12_1414,2019_Jun_12_1423,2019_Jun_12_1427
29,2019_Jun_12_1526,2019_Jun_12_1550,2019_Jun_12_1540,2019_Jun_12_1555,2019_Jun_12_1604,2019_Jun_12_1606
30,2019_Jun_13_0943,2019_Jun_13_0959,2019_Jun_13_0919,2019_Jun_13_0954,2019_Jun_13_1006,2019_Jun_13_1009
